# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495439897684e-10       7.310696548441e-15       4.819478898572e-13       2.388461156253e-19       8.695515862361e-09       4.855419557382e-10      -2.515318087007e-12 
    3       1.409438492418e-10       1.238947548600e-14       6.072010433234e-13       4.779246846399e-19       5.417908921004e-09       3.465371409088e-10      -2.211468804870e-12 
    4       1.324722148924e-10       1.446899887215e-14       6.281601093789e-13       7.970495135166e-19       3.776090343748e-09       2.636970070878e-10      -1.764187105583e-12 
    5       1.257602327471e-10       1.338485343416e-14       5.883048559884e-13       1.196508060096e-18       2.820193626334e-09       2.091974943604e-10      -1.309701359135e-12 
    6       1.208143979758e-10       1.033150196372e-14       5.177072129374e-13       1.676641049168e-18       2.201978302822e-09       1.707969809117e-10      -8.951397533098e-13 
    7       1.173386372447e-10       6.850398992806e-15       4.367865916284e-13       2.237831171494e-18       1.774885840264e-09       1.424544324719e-10      -5.447603465215e-13 
    8       1.150135981246e-10       4.050247010189e-15       3.578495631074e-13       2.880490561605e-18       1.466309872991e-09       1.208158507377e-10      -2.693289638486e-13 
    9       1.135939999502e-10       2.342881562341e-15       2.881923480005e-13       3.605047549675e-18       1.235198264857e-09       1.038458811633e-10      -7.046218068466e-14 
   10       1.128651879721e-10       1.577355561202e-15       2.318777977243e-13       4.411933210003e-18       1.056521409573e-09       9.027378545240e-11       5.717309161763e-14 
   11       1.126865421723e-10       1.351816028272e-15       1.905958034523e-13       5.301568234607e-18       8.886623221978e-10       7.948654413521e-11       1.231679954588e-13 
   12       1.129500784477e-10       1.295324213969e-15       1.640721265332e-13       6.274350644987e-18       7.765028609368e-10       7.026716746686e-11       1.421213014941e-13 
   13       1.135353754347e-10       1.209102235044e-15       1.505470755704e-13       7.330644818719e-18       6.844334159245e-10       6.273204267619e-11       1.277943378239e-13 
   14       1.143437942540e-10       1.064475050139e-15       1.474059297390e-13       8.470772251904e-18       6.078295491902e-10       5.619596318389e-11       9.291953509148e-14 
   15       1.153826446995e-10       9.212128564492e-16       1.516569255112e-13       9.695004405639e-18       5.433497847359e-10       5.073335155650e-11       4.975560861325e-14 
   16       1.166113362500e-10       8.408347301482e-16       1.603338328514e-13       1.100355789777e-17       4.885271379444e-10       4.610233227286e-11       7.427912175510e-15 
   17       1.179488457715e-10       8.410397230494e-16       1.708321720723e-13       1.239659220367e-17       4.414983010338e-10       4.210440136911e-11      -2.770754920234e-14 
   18       1.193977316044e-10       8.947673859248e-16       1.813108805193e-13       1.387420869711e-17       4.006783566459e-10       3.855487751509e-11      -5.212094727477e-14 
   19       1.209659357189e-10       9.692662656936e-16       1.908180787465e-13       1.543645958424e-17       3.654221752954e-10       3.542433052259e-11      -6.494923062439e-14 
   20       1.225985588645e-10       1.030772042897e-15       1.986173300210e-13       1.708333963895e-17       3.343692299712e-10       3.265929612179e-11      -6.703061774746e-14 
   21       1.243074613528e-10       1.082080030262e-15       2.047760778372e-13       1.881481147499e-17       3.070320955768e-10       3.021436627293e-11      -6.047076934800e-14 
   22       1.260918878749e-10       1.141213004502e-15       2.097304840510e-13       2.063079566979e-17       2.827577151756e-10       2.800667560724e-11      -4.856762659786e-14 
   23       1.279407652414e-10       1.227504716777e-15       2.139362622280e-13       2.253120079907e-17       2.612125846703e-10       2.600493385012e-11      -3.424111144032e-14 
   24       1.298218642339e-10       1.359559347151e-15       2.179293261464e-13       2.451591351426e-17       2.418986847883e-10       2.417595299987e-11      -2.058000706147e-14 
   25       1.317524347525e-10       1.538074814967e-15       2.222061925386e-13       2.658483355305e-17       2.245891301938e-10       2.253016443933e-11      -9.465729903304e-15 
   26       1.337452683509e-10       1.756348062237e-15       2.272097141700e-13       2.873786159849e-17       2.089709924756e-10       2.107103225697e-11      -2.288783968795e-15 
   27       1.357812125947e-10       2.007714899313e-15       2.329606580189e-13       3.097492995455e-17       1.948570262091e-10       1.976486331641e-11       7.501793952348e-16 
   28       1.378241428542e-10       2.285375976692e-15       2.392754965243e-13       3.329599479482e-17       1.820039453372e-10       1.855959738821e-11       4.444809887228e-17 
   29       1.398838567546e-10       2.588883347964e-15       2.458468558300e-13       3.570107148030e-17       1.703461880316e-10       1.745093092302e-11      -3.606081943605e-15 
   30       1.419748805763e-10       2.919683819672e-15       2.522333179404e-13       3.819021482768e-17       1.597586661176e-10       1.644080340747e-11      -8.985055291590e-15 
   31       1.441013541068e-10       3.278590080810e-15       2.579155540491e-13       4.076351901338e-17       1.500255252820e-10       1.552182805331e-11      -1.466322223947e-14 
   32       1.462661442017e-10       3.663396726964e-15       2.625224276859e-13       4.342114112317e-17       1.410965811036e-10       1.468468801848e-11      -1.976965833230e-14 
   33       1.484624133536e-10       4.070266910876e-15       2.656789410799e-13       4.616329485965e-17       1.329087701155e-10       1.391158291330e-11      -2.348229706712e-14 
   34       1.506771400205e-10       4.495873158007e-15       2.670232817968e-13       4.899024428365e-17       1.253476010365e-10       1.318073274058e-11      -2.504386471744e-14 
   35       1.529169042406e-10       4.942962230122e-15       2.664851119315e-13       5.190228528687e-17       1.183744306686e-10       1.249242584346e-11      -2.454573870128e-14 
   36       1.551894667072e-10       5.416807570979e-15       2.641068125242e-13       5.489976555804e-17       1.119333703317e-10       1.185120951853e-11      -2.242881288459e-14 
   37       1.574972146389e-10       5.922848651902e-15       2.599707452616e-13       5.798306953285e-17       1.059406532280e-10       1.125875796261e-11      -1.923888580202e-14 
   38       1.598406661989e-10       6.463340708629e-15       2.541899551814e-13       6.115253454533e-17       1.003808314741e-10       1.071405404736e-11      -1.545533965055e-14 
   39       1.622148935812e-10       7.039643433337e-15       2.469196435060e-13       6.440851229046e-17       9.523629617995e-11       1.021272256864e-11      -1.162099720935e-14 
   40       1.646076972212e-10       7.653115224046e-15       2.383635042840e-13       6.775139435318e-17       9.045801464069e-11       9.746573325503e-12      -8.397501250883e-15 
   41       1.670052156563e-10       8.304886291251e-15       2.287178735912e-13       7.118157366451e-17       8.598262083198e-11       9.306239474111e-12      -6.400624759703e-15 
   42       1.694126176527e-10       8.995094639972e-15       2.179751277760e-13       7.469930802298e-17       8.179696799883e-11       8.890891922564e-12      -5.624003156913e-15 
   43       1.718389794475e-10       9.723397526935e-15       2.060613139300e-13       7.830481617527e-17       7.788997607005e-11       8.501150707264e-12      -5.840214269351e-15 
   44       1.742913080885e-10       1.048915719790e-14       1.928884270093e-13       8.199831450781e-17       7.423326075021e-11       8.136287379527e-12      -6.752271643275e-15 
   45       1.767742199530e-10       1.129169046498e-14       1.783531463779e-13       8.577997984275e-17       7.079127845052e-11       7.794674522383e-12      -8.032723715995e-15 
   46       1.792894752726e-10       1.213114819465e-14       1.623351136397e-13       8.964982560219e-17       6.755862439326e-11       7.475566742332e-12      -9.465449362373e-15 
   47       1.818358615418e-10       1.300786859296e-14       1.446963218748e-13       9.360778787124e-17       6.453154162849e-11       7.177655646935e-12      -1.083863166677e-14 
   48       1.844089854977e-10       1.392213045044e-14       1.252802136189e-13       9.765375645474e-17       6.169667086792e-11       6.898470238013e-12      -1.190293841700e-14 
   49       1.870010092262e-10       1.487415080681e-14       1.039106008524e-13       1.017875723187e-16       5.903033637403e-11       6.634293947700e-12      -1.236955115070e-14 
   50       1.896038642571e-10       1.586409416356e-14       8.043865383748e-14       1.060090216037e-16       5.650567836425e-11       6.381244368324e-12      -1.200161992710e-14 
   51       1.922205345944e-10       1.689210848747e-14       5.490140967986e-14       1.103178216855e-16       5.411798933084e-11       6.139050431975e-12      -1.092246578221e-14 
   52       1.948563801803e-10       1.795829494316e-14       2.740442225956e-14       1.147136269080e-16       5.186502059401e-11       5.908157095366e-12      -9.387629431874e-15 
   53       1.975158287374e-10       1.906269545005e-14      -1.921392159095e-15       1.191960290255e-16       4.973940018226e-11       5.688624676818e-12      -7.701125330181e-15 
   54       2.002022755448e-10       2.020529089053e-14      -3.291857287482e-14       1.237645544834e-16       4.772828796912e-11       5.480100607323e-12      -6.217867220460e-15 
   55       2.029181174628e-10       2.138603017859e-14      -6.544081231683e-14       1.284187167896e-16       4.581729437897e-11       5.282011841528e-12      -5.260325705214e-15 
