# Matter power spectrum P(k) at redshift z=0
# for k=1.04513e-05 to 1.5402 h/Mpc,
# number of wavenumbers equal to 612
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.355740087505e-02       2.570859431994e+04 
       1.368682539707e-02       2.575298629586e+04 
       1.381628628112e-02       2.579512945994e+04 
       1.394578364557e-02       2.583503679746e+04 
       1.407531763184e-02       2.587274779030e+04 
       1.420488840393e-02       2.590828262548e+04 
       1.433449614819e-02       2.594167947629e+04 
       1.446414107295e-02       2.597295521088e+04 
       1.459382340829e-02       2.600213946875e+04 
       1.472354340581e-02       2.602925780750e+04 
       1.485330133844e-02       2.605433418831e+04 
       1.498309750022e-02       2.607740583595e+04 
       1.511293220619e-02       2.609848592480e+04 
       1.524280579226e-02       2.611762373742e+04 
       1.537271861513e-02       2.613482183430e+04 
       1.550267105217e-02       2.615010399441e+04 
       1.563266350142e-02       2.616353140747e+04 
       1.576269638153e-02       2.617507912725e+04 
       1.589277013178e-02       2.618480532152e+04 
       1.602288521208e-02       2.619270392413e+04 
       1.615304210298e-02       2.619882333791e+04 
       1.628324130579e-02       2.620318023896e+04 
       1.641348334260e-02       2.620578707357e+04 
       1.654376875637e-02       2.620669523367e+04 
       1.667409811111e-02       2.620589483562e+04 
       1.680447199192e-02       2.620342898648e+04 
       1.693489100521e-02       2.619932073603e+04 
       1.706535577880e-02       2.619359020626e+04 
       1.719586696219e-02       2.618625532376e+04 
       1.732642522667e-02       2.617735040910e+04 
       1.745703126559e-02       2.616688445658e+04 
       1.758768579459e-02       2.615488032876e+04 
       1.771838955184e-02       2.614138480699e+04 
       1.784914329829e-02       2.612638249077e+04 
       1.797994781802e-02       2.610993836013e+04 
       1.811080391844e-02       2.609202240714e+04 
       1.824171243071e-02       2.607267401574e+04 
       1.837267421000e-02       2.605192880893e+04 
       1.850369013588e-02       2.602983609469e+04 
       1.863476111267e-02       2.600634245350e+04 
       1.876588806983e-02       2.598151566363e+04 
       1.889707196238e-02       2.595541069849e+04 
       1.902831377127e-02       2.592793661913e+04 
       1.915961450387e-02       2.589924928289e+04 
       1.929097519441e-02       2.586925085291e+04 
       1.942239690442e-02       2.583801400662e+04 
       1.955388072325e-02       2.580558521901e+04 
       1.968542776858e-02       2.577195805281e+04 
       1.981703918695e-02       2.573714372752e+04 
       1.994871615426e-02       2.570115600721e+04 
       2.008045987639e-02       2.566403130615e+04 
       2.021227158978e-02       2.562580378978e+04 
       2.034415256200e-02       2.558645263865e+04 
       2.047610409240e-02       2.554602519833e+04 
       2.060812751276e-02       2.550451729788e+04 
       2.074022418794e-02       2.546195943767e+04 
       2.087239551658e-02       2.541839246468e+04 
       2.100464293184e-02       2.537379267501e+04 
       2.113696790208e-02       2.532819014431e+04 
       2.126937193167e-02       2.528165352835e+04 
       2.140185656174e-02       2.523413732728e+04 
       2.153442337100e-02       2.518566347942e+04 
       2.166707397658e-02       2.513624808662e+04 
       2.179981003491e-02       2.508596004486e+04 
       2.193263324256e-02       2.503481457090e+04 
       2.206554533717e-02       2.498271657767e+04 
       2.219854809843e-02       2.492979519369e+04 
       2.233164334902e-02       2.487606376403e+04 
       2.246483295562e-02       2.482147360994e+04 
       2.259811882996e-02       2.476613421730e+04 
       2.273150292985e-02       2.470994335074e+04 
       2.286498726034e-02       2.465298530444e+04 
       2.299857387481e-02       2.459524139983e+04 
       2.313226487615e-02       2.453679998707e+04 
       2.326606241798e-02       2.447761481864e+04 
       2.339996870589e-02       2.441771090289e+04 
       2.353398599873e-02       2.435710513133e+04 
       2.366811660992e-02       2.429584115810e+04 
       2.380236290885e-02       2.423388325416e+04 
       2.393672732224e-02       2.417126378800e+04 
       2.407121233567e-02       2.410800951542e+04 
       2.420582049499e-02       2.404417436683e+04 
       2.434055440797e-02       2.397976924552e+04 
       2.447541674583e-02       2.391459393684e+04 
       2.461041024491e-02       2.384903433391e+04 
       2.474553770839e-02       2.378275628271e+04 
       2.488080200806e-02       2.371599789264e+04 
       2.501620608610e-02       2.364867752015e+04 
       2.515175295701e-02       2.358085402981e+04 
       2.528744570950e-02       2.351249966573e+04 
       2.542328750856e-02       2.344364967216e+04 
       2.555928159746e-02       2.337432270751e+04 
