# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494867558187e-10       7.297209808569e-15       4.818745290919e-13       0.000000000000e+00       8.805656026286e-09       4.847236586050e-10      -2.510609181017e-12 
    3       1.409082424829e-10       1.235839424742e-14       6.063221739778e-13       0.000000000000e+00       5.407824256665e-09       3.454177018781e-10      -2.208152598852e-12 
    4       1.324437934120e-10       1.443190541778e-14       6.271511152241e-13       0.000000000000e+00       3.757106986086e-09       2.628869774593e-10      -1.761475828099e-12 
    5       1.257355896218e-10       1.334915792473e-14       5.872413737017e-13       0.000000000000e+00       2.803525867252e-09       2.085774428167e-10      -1.307516686108e-12 
    6       1.207931992052e-10       1.030301436292e-14       5.166902262097e-13       0.000000000000e+00       2.189597244311e-09       1.703083723365e-10      -8.935598413737e-13 
    7       1.173178557409e-10       6.830384097966e-15       4.358835877987e-13       0.000000000000e+00       1.766446154307e-09       1.420561794592e-10      -5.436862281221e-13 
    8       1.149935862946e-10       4.037102051999e-15       3.571042208321e-13       0.000000000000e+00       1.459953601014e-09       1.204575015898e-10      -2.686248905247e-13 
    9       1.135751863905e-10       2.334079862863e-15       2.876027721032e-13       0.000000000000e+00       1.229310048275e-09       1.035039685887e-10      -6.998952695562e-14 
   10       1.128466278816e-10       1.570748444731e-15       2.314260094408e-13       0.000000000000e+00       1.050526282508e-09       8.994666052324e-11       5.753239020684e-14 
   11       1.126704582510e-10       1.345953368101e-15       1.902730559574e-13       0.000000000000e+00       8.853772351352e-10       7.923679993340e-11       1.234978007320e-13 
   12       1.129329301310e-10       1.289246326284e-15       1.638147253300e-13       0.000000000000e+00       7.735332416309e-10       7.002551921873e-11       1.424660589708e-13 
   13       1.135196843925e-10       1.202065076698e-15       1.502940931650e-13       0.000000000000e+00       6.817317222113e-10       6.250933838589e-11       1.281961386291e-13 
   14       1.143312507533e-10       1.055752878087e-15       1.471609756237e-13       0.000000000000e+00       6.053586213542e-10       5.599422678472e-11       9.337980876409e-14 
   15       1.153736121782e-10       9.101632244199e-16       1.513882992790e-13       0.000000000000e+00       5.410791506581e-10       5.055406544017e-11       5.025882575517e-14 
   16       1.166032403319e-10       8.272098960693e-16       1.599650228383e-13       0.000000000000e+00       4.864319859782e-10       4.594000218954e-11       7.927311580928e-15 
   17       1.179453357161e-10       8.248888777979e-16       1.704131091006e-13       0.000000000000e+00       4.395579391336e-10       4.195445274653e-11      -2.727342701715e-14 
   18       1.193973076434e-10       8.762181566492e-16       1.808463941888e-13       0.000000000000e+00       3.988767005704e-10       3.841933532193e-11      -5.179287318543e-14 
   19       1.209672864656e-10       9.484860859923e-16       1.902903236299e-13       0.000000000000e+00       3.637422307247e-10       3.530269159503e-11      -6.473266590242e-14 
   20       1.226036053458e-10       1.007914553590e-15       1.980157119309e-13       0.000000000000e+00       3.327994325894e-10       3.254577630870e-11      -6.689168351759e-14 
   21       1.243173012419e-10       1.057058294249e-15       2.041006947607e-13       0.000000000000e+00       3.055619297246e-10       3.010396629860e-11      -6.037008872383e-14 
   22       1.261056685323e-10       1.113637063583e-15       2.089954085946e-13       0.000000000000e+00       2.813778542533e-10       2.789788047157e-11      -4.847690675215e-14 
   23       1.279585965184e-10       1.197030314102e-15       2.131695531341e-13       0.000000000000e+00       2.599144946651e-10       2.589933597832e-11      -3.415543268854e-14 
   24       1.298455498405e-10       1.325974481930e-15       2.171649390646e-13       0.000000000000e+00       2.406754512823e-10       2.407764271818e-11      -2.051854189944e-14 
   25       1.317830149649e-10       1.501031528040e-15       2.214390645985e-13       0.000000000000e+00       2.234343731922e-10       2.244092313704e-11      -9.432559622573e-15 
   26       1.337823482478e-10       1.715326910444e-15       2.263880552552e-13       0.000000000000e+00       2.078791699725e-10       2.098896557435e-11      -2.261657959855e-15 
   27       1.358245570147e-10       1.962381555586e-15       2.320533943264e-13       0.000000000000e+00       1.938230965025e-10       1.968783628821e-11       7.955296405885e-16 
   28       1.378741477279e-10       2.235673056297e-15       2.382933185449e-13       0.000000000000e+00       1.810236328664e-10       1.848637727841e-11       1.247026077776e-16 
   29       1.399409871436e-10       2.534740237329e-15       2.448136743432e-13       0.000000000000e+00       1.694153405110e-10       1.738078193581e-11      -3.485937074232e-15 
   30       1.420394839692e-10       2.860905153121e-15       2.511780437926e-13       0.000000000000e+00       1.588735094855e-10       1.637349821469e-11      -8.835818066735e-15 
   31       1.441736759816e-10       3.214857235874e-15       2.568677003154e-13       0.000000000000e+00       1.491830295980e-10       1.545761309203e-11      -1.451057702842e-14 
   32       1.463465092858e-10       3.594409356693e-15       2.614914819556e-13       0.000000000000e+00       1.402938244888e-10       1.462345863098e-11      -1.963539702074e-14 
   33       1.485513067764e-10       3.995797785482e-15       2.646431439532e-13       0.000000000000e+00       1.321430056282e-10       1.385254564633e-11      -2.337647349002e-14 
   34       1.507751666777e-10       4.415750012798e-15       2.659339228870e-13       0.000000000000e+00       1.246164744801e-10       1.312254583494e-11      -2.496365825266e-14 
   35       1.530244627715e-10       4.856916607401e-15       2.653120536920e-13       0.000000000000e+00       1.176756912784e-10       1.243432448915e-11      -2.448251842030e-14 
   36       1.553066041061e-10       5.324407834786e-15       2.628577765694e-13       0.000000000000e+00       1.112649564605e-10       1.179351034314e-11      -2.236971261679e-14 
   37       1.576236697270e-10       5.823522949685e-15       2.586903454199e-13       0.000000000000e+00       1.053008152970e-10       1.120280814871e-11      -1.916806294723e-14 
   38       1.599763202290e-10       6.356596318577e-15       2.529243320042e-13       0.000000000000e+00       9.976784595469e-11       1.066110111339e-11      -1.536167637583e-14 
   39       1.623599510292e-10       6.925156086857e-15       2.457042514572e-13       0.000000000000e+00       9.464848091865e-11       1.016350857413e-11      -1.150160655095e-14 
   40       1.647627641650e-10       7.530769120603e-15       2.372198199174e-13       0.000000000000e+00       8.989386987468e-11       9.701207453335e-12      -8.259668635964e-15 
   41       1.671712449495e-10       8.174752060249e-15       2.276527037778e-13       0.000000000000e+00       8.544089596443e-11       9.264221709252e-12      -6.260706652751e-15 
   42       1.695903900665e-10       8.857190756372e-15       2.169892776110e-13       0.000000000000e+00       8.127644615001e-11       8.851668985886e-12      -5.495707334536e-15 
   43       1.720289063730e-10       9.577602045905e-15       2.051515626630e-13       0.000000000000e+00       7.738947028927e-11       8.464299131902e-12      -5.730250766325e-15 
   44       1.744933551809e-10       1.033517612158e-14       1.920469111315e-13       0.000000000000e+00       7.375169576448e-11       8.101554869623e-12      -6.658780482890e-15 
   45       1.769879543091e-10       1.112906976246e-14       1.775679854489e-13       0.000000000000e+00       7.032772555426e-11       7.761975501385e-12      -7.945938821120e-15 
   46       1.795145375943e-10       1.195943683043e-14       1.615952789449e-13       0.000000000000e+00       6.711216329628e-11       7.444817716282e-12      -9.376088447911e-15 
   47       1.820721328966e-10       1.282667245407e-14       1.439934790297e-13       0.000000000000e+00       6.410125498884e-11       7.148727499454e-12      -1.074071094348e-14 
   48       1.846566400837e-10       1.373112533706e-14       1.246094440176e-13       0.000000000000e+00       6.128169139045e-11       6.871184835222e-12      -1.179449783736e-14 
   49       1.872605701113e-10       1.467309614279e-14       1.032711660654e-13       0.000000000000e+00       5.862989751262e-11       6.608420673128e-12      -1.225342036557e-14 
   50       1.898761558577e-10       1.565282664916e-14       7.983459056366e-14       0.000000000000e+00       5.611913097877e-11       6.356508572118e-12      -1.188485984646e-14 
   51       1.925062854222e-10       1.667046749039e-14       5.434146249807e-14       0.000000000000e+00       5.374469695254e-11       6.115181597989e-12      -1.081131869201e-14 
   52       1.951560855330e-10       1.772609886673e-14       2.690253307381e-14       0.000000000000e+00       5.150434936145e-11       5.884907950321e-12      -9.285811774241e-15 
   53       1.978297093533e-10       1.881973700783e-14      -2.345365817846e-15       0.000000000000e+00       4.939074533513e-11       5.665779739661e-12      -7.609356064352e-15 
   54       2.005302342336e-10       1.995133212300e-14      -3.323810659291e-14       0.000000000000e+00       4.739110217414e-11       5.457485232534e-12      -6.133372654214e-15 
   55       2.032597737896e-10       2.112080733614e-14      -6.562426785483e-14       0.000000000000e+00       4.549109620895e-11       5.259499174007e-12      -5.177286572672e-15 
   56       2.060200809830e-10       2.232819151308e-14      -9.949956041542e-14       0.000000000000e+00       4.368847944356e-11       5.071772706089e-12      -4.751852458864e-15 
   57       2.088119157633e-10       2.357351584108e-14      -1.349036674038e-13       0.000000000000e+00       4.198224473243e-11       4.894166224835e-12      -4.771304375864e-15 
   58       2.116347520146e-10       2.485677529206e-14      -1.718823355249e-13       0.000000000000e+00       4.036850636539e-11       4.726227479697e-12      -5.131253821453e-15 
   59       2.144866836574e-10       2.617792816965e-14      -2.104877659053e-13       0.000000000000e+00       3.884032230485e-11       4.567172315073e-12      -5.707787767638e-15 
   60       2.173643307513e-10       2.753689565622e-14      -2.507790049396e-13       0.000000000000e+00       3.738751642312e-11       4.415865411840e-12      -6.356566700172e-15 
   61       2.202642909534e-10       2.893349298389e-14      -2.928094954486e-13       0.000000000000e+00       3.599950345892e-11       4.271126008917e-12      -6.942716438187e-15 
   62       2.231880870275e-10       3.036720591868e-14      -3.365855806754e-13       0.000000000000e+00       3.467490701072e-11       4.132768825500e-12      -7.440384571148e-15 
   63       2.261381682876e-10       3.183736307374e-14      -3.820993372404e-13       0.000000000000e+00       3.341379478707e-11       4.000763673836e-12      -7.854031686419e-15 
   64       2.291164192603e-10       3.334319728774e-14      -4.293405767044e-13       0.000000000000e+00       3.221478553464e-11       3.874922326723e-12      -8.189683103121e-15 
   65       2.321241148201e-10       3.488384300241e-14      -4.782968290210e-13       0.000000000000e+00       3.107496654948e-11       3.754889570415e-12      -8.455003975013e-15 
   66       2.351618753253e-10       3.645833364005e-14      -5.289533259892e-13       0.000000000000e+00       2.998981118833e-11       3.640134257540e-12      -8.659374393362e-15 
   67       2.382296217528e-10       3.806559898109e-14      -5.812929847060e-13       0.000000000000e+00       2.895309637992e-11       3.529940360010e-12      -8.813964489821e-15 
   68       2.413270582168e-10       3.970457701347e-14      -6.352976757997e-13       0.000000000000e+00       2.795856408125e-11       3.423605019557e-12      -8.930422700733e-15 
   69       2.444553333432e-10       4.137458166021e-14      -6.909523635275e-13       0.000000000000e+00       2.700548096380e-11       3.321099298841e-12      -9.016464039333e-15 
   70       2.476156364833e-10       4.307500519437e-14      -7.482417786985e-13       0.000000000000e+00       2.609406225590e-11       3.222525858130e-12      -9.079518702101e-15 
   71       2.508086693025e-10       4.480521065964e-14      -8.071492241364e-13       0.000000000000e+00       2.522379026606e-11       3.127920216276e-12      -9.128078735909e-15 
   72       2.540346144037e-10       4.656453217557e-14      -8.676565909909e-13       0.000000000000e+00       2.439337649646e-11       3.037247097681e-12      -9.171737671875e-15 
   73       2.572931039506e-10       4.835227524273e-14      -9.297443750488e-13       0.000000000000e+00       2.360072375644e-11       2.950396779267e-12      -9.221230159222e-15 
   74       2.605831882916e-10       5.016771704794e-14      -9.933916930458e-13       0.000000000000e+00       2.284288827593e-11       2.867181437449e-12      -9.288471599136e-15 
   75       2.639033045825e-10       5.201010676946e-14      -1.058576298977e-12       0.000000000000e+00       2.211604181896e-11       2.787331495097e-12      -9.386597778627e-15 
   76       2.672519177293e-10       5.387852237796e-14      -1.125270534859e-12       0.000000000000e+00       2.141642165243e-11       2.710567706640e-12      -9.526133181307e-15 
   77       2.706296475065e-10       5.577141021770e-14      -1.193428294473e-12       0.000000000000e+00       2.074346419517e-11       2.636840664284e-12      -9.702601636638e-15 
   78       2.740374741263e-10       5.768696163015e-14      -1.262995700993e-12       0.000000000000e+00       2.009717662760e-11       2.566128533007e-12      -9.906717923021e-15 
   79       2.774760830256e-10       5.962324641505e-14      -1.333914895660e-12       0.000000000000e+00       1.947718238625e-11       2.498363121026e-12      -1.012801955550e-14 
   80       2.809458472759e-10       6.157821019295e-14      -1.406123970739e-12       0.000000000000e+00       1.888270353394e-11       2.433427779843e-12      -1.035482703498e-14 
   81       2.844468099933e-10       6.354967176770e-14      -1.479556902452e-12       0.000000000000e+00       1.831254313007e-11       2.371155304284e-12      -1.057420409753e-14 
   82       2.879786667483e-10       6.553532048904e-14      -1.554143483930e-12       0.000000000000e+00       1.776506760085e-11       2.311325832540e-12      -1.077191796355e-14 
