# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494896797998e-10       7.283403370996e-15       4.816691233806e-13       2.317912517178e-19       8.708863141807e-09       4.837384599287e-10      -2.506356430428e-12 
    3       1.408954454169e-10       1.232830880458e-14       6.054203559518e-13       4.638076189651e-19       5.380427021624e-09       3.452953604364e-10      -2.205016921687e-12 
    4       1.324259346681e-10       1.439526803730e-14       6.260855539368e-13       7.735051154825e-19       3.748495244809e-09       2.627067580727e-10      -1.758737849683e-12 
    5       1.257189906969e-10       1.331604560330e-14       5.861670883255e-13       1.161162377044e-18       2.799244447716e-09       2.083420138343e-10      -1.305412257728e-12 
    6       1.207805628196e-10       1.027798027997e-14       5.156707105893e-13       1.627109891612e-18       2.186294200228e-09       1.700597762527e-10      -8.920091220337e-13 
    7       1.173054399744e-10       6.814895853032e-15       4.349950138788e-13       2.171719172452e-18       1.762527164312e-09       1.417928957029e-10      -5.425844828362e-13 
    8       1.149840443338e-10       4.029711600247e-15       3.563696827648e-13       2.795390754821e-18       1.455002916544e-09       1.201909584299e-10      -2.678531446919e-13 
    9       1.135689694997e-10       2.332437264781e-15       2.870213097721e-13       3.498541487972e-18       1.223892594062e-09       1.032510966283e-10      -6.943701594449e-14 
   10       1.128441829455e-10       1.572866221644e-15       2.309860459173e-13       4.281591620376e-18       1.045579753815e-09       8.972200886774e-11       5.794925671684e-14 
   11       1.126739213990e-10       1.350571837631e-15       1.899290750834e-13       5.144952182112e-18       8.820697193081e-10       7.901202005024e-11       1.238424481877e-13 
   12       1.129386271275e-10       1.295586695640e-15       1.635412883897e-13       6.089013153992e-18       7.705428312101e-10       6.981809758648e-11       1.427892277998e-13 
   13       1.135298681792e-10       1.209487515943e-15       1.500594170162e-13       7.114132878857e-18       6.790112853577e-10       6.232143043845e-11       1.285603067681e-13 
   14       1.143481866594e-10       1.063723746938e-15       1.468832606363e-13       8.220629117890e-18       6.028707129421e-10       5.582031030449e-11       9.380285264685e-14 
   15       1.153971900094e-10       9.182819018608e-16       1.510842884015e-13       9.408772085960e-18       5.387932969281e-10       5.039070467255e-11       5.073717104079e-14 
   16       1.166307045547e-10       8.352453725911e-16       1.596241939261e-13       1.067877971770e-17       4.843230103552e-10       4.578067405871e-11       8.428435240160e-15 
   17       1.179815808517e-10       8.330730495654e-16       1.699524331017e-13       1.203081532361e-17       4.376051337587e-10       4.179744109958e-11      -2.679877635646e-14 
   18       1.194408147727e-10       8.850095088337e-16       1.803002716051e-13       1.346498652874e-17       3.970634294406e-10       3.827181769318e-11      -5.138740075368e-14 
