# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495437427879e-10       7.310697400048e-15       4.819471767840e-13       2.388509239429e-19       8.695551090293e-09       4.855422505159e-10      -2.515317907214e-12 
    3       1.409435988855e-10       1.238947645727e-14       6.072000911997e-13       4.779343017961e-19       5.417912466474e-09       3.465371041793e-10      -2.211468928317e-12 
    4       1.324719677422e-10       1.446900152675e-14       6.281591477479e-13       7.970655432358e-19       3.776090199021e-09       2.636969613441e-10      -1.764187299913e-12 
    5       1.257599952812e-10       1.338485739784e-14       5.883039824625e-13       1.196532106709e-18       2.820192088946e-09       2.091974538991e-10      -1.309701695090e-12 
    6       1.208141691709e-10       1.033150600487e-14       5.177064610191e-13       1.676674717694e-18       2.201975966706e-09       1.707969726246e-10      -8.951402308895e-13 
    7       1.173384098992e-10       6.850402594185e-15       4.367859300956e-13       2.237876067675e-18       1.774884062521e-09       1.424544461105e-10      -5.447607883715e-13 
    8       1.150133769757e-10       4.050250122214e-15       3.578490473536e-13       2.880548291897e-18       1.466309174219e-09       1.208158389766e-10      -2.693291770318e-13 
    9       1.135937799562e-10       2.342884000006e-15       2.881920175156e-13       3.605119721188e-18       1.235198109990e-09       1.038458555160e-10      -7.046212846048e-14 
   10       1.128649827975e-10       1.577357422128e-15       2.318776023858e-13       4.412021430395e-18       1.056521128913e-09       9.027379584904e-11       5.717328658773e-14 
   11       1.126863432842e-10       1.351817734096e-15       1.905956647002e-13       5.301674111935e-18       8.886623860923e-10       7.948658384655e-11       1.231681806738e-13 
   12       1.129498854596e-10       1.295325872421e-15       1.640720100489e-13       6.274475787508e-18       7.765029166082e-10       7.026716974825e-11       1.421214000211e-13 
   13       1.135351696788e-10       1.209103665078e-15       1.505469147874e-13       7.330790834669e-18       6.844334649750e-10       6.273201797598e-11       1.277943587872e-13 
   14       1.143436028417e-10       1.064476274021e-15       1.474057562868e-13       8.470940749249e-18       6.078295928103e-10       5.619597097848e-11       9.291953270607e-14 
   15       1.153824518446e-10       9.212140910211e-16       1.516567461460e-13       9.695196991805e-18       5.433498238742e-10       5.073338280872e-11       4.975563977056e-14 
   16       1.166111428359e-10       8.408361465947e-16       1.603337015952e-13       1.100377617938e-17       4.885271732444e-10       4.610232473945e-11       7.428011315369e-15 
   17       1.179486446762e-10       8.410403648973e-16       1.708321981839e-13       1.239683778628e-17       4.414983331203e-10       4.210436169491e-11      -2.770738239436e-14 
   18       1.193975364092e-10       8.947658088061e-16       1.813107066786e-13       1.387448318496e-17       4.006783861462e-10       3.855487139029e-11      -5.212074835614e-14 
   19       1.209657534251e-10       9.692627356178e-16       1.908175342328e-13       1.543676458007e-17       3.654222023983e-10       3.542436878971e-11      -6.494904669038e-14 
   20       1.225983773562e-10       1.030769009408e-15       1.986166935471e-13       1.708367674378e-17       3.343692550783e-10       3.265930865621e-11      -6.703049225037e-14 
   21       1.243072745213e-10       1.082078826747e-15       2.047755650145e-13       1.881518228804e-17       3.070321190309e-10       3.021433547796e-11      -6.047071157179e-14 
   22       1.260917033378e-10       1.141212748573e-15       2.097300683394e-13       2.063120178836e-17       2.827577371432e-10       2.800666980109e-11      -4.856760207920e-14 
   23       1.279405881202e-10       1.227504396209e-15       2.139358592657e-13       2.253164381857e-17       2.612126053020e-10       2.600497056149e-11      -3.424108487806e-14 
   24       1.298216926630e-10       1.359558584262e-15       2.179288644870e-13       2.451639502821e-17       2.418987042480e-10       2.417596661502e-11      -2.057996133511e-14 
   25       1.317522694358e-10       1.538073790584e-15       2.222056623502e-13       2.658535515322e-17       2.245891486169e-10       2.253013573419e-11      -9.465675570100e-15 
   26       1.337451144462e-10       1.756347392689e-15       2.272091736062e-13       2.873842487500e-17       2.089710099484e-10       2.107101926690e-11      -2.288757971076e-15 
   27       1.357810706027e-10       2.007714782490e-15       2.329601333488e-13       3.097553649614e-17       1.948570428172e-10       1.976489283445e-11       7.501554141863e-16 
   28       1.378240065286e-10       2.285375973129e-15       2.392749531341e-13       3.329664618899e-17       1.820039611729e-10       1.855963540192e-11       4.438176820938e-17 
   29       1.398837211028e-10       2.588883047489e-15       2.458462490574e-13       3.570176931370e-17       1.703462031849e-10       1.745094405451e-11      -3.606168800449e-15 
   30       1.419747452010e-10       2.919683100334e-15       2.522326105671e-13       3.819096068637e-17       1.597586806645e-10       1.644078216589e-11      -8.985129803287e-15 
