# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494860859230e-10       7.297192141837e-15       4.818737169904e-13       0.000000000000e+00       8.804064988012e-09       4.847095797789e-10      -2.510602401430e-12 
    3       1.409076198551e-10       1.235833293052e-14       6.063197135558e-13       0.000000000000e+00       5.405614571046e-09       3.454006784017e-10      -2.208143675571e-12 
    4       1.324431898184e-10       1.443179612729e-14       6.271472013440e-13       0.000000000000e+00       3.754597649071e-09       2.628681988603e-10      -1.761464757640e-12 
    5       1.257349751425e-10       1.334901101064e-14       5.872358000153e-13       0.000000000000e+00       2.800908579234e-09       2.085576633287e-10      -1.307505046601e-12 
    6       1.207925641749e-10       1.030284962329e-14       5.166828593634e-13       0.000000000000e+00       2.187001612334e-09       1.702876587020e-10      -8.935493221051e-13 
    7       1.173172281142e-10       6.830220500014e-15       4.358744360365e-13       0.000000000000e+00       1.763960645644e-09       1.420361056362e-10      -5.436777656861e-13 
    8       1.149930272573e-10       4.036951986354e-15       3.570932733089e-13       0.000000000000e+00       1.457635527027e-09       1.204403377453e-10      -2.686187922906e-13 
    9       1.135747153356e-10       2.333951100176e-15       2.875902074612e-13       0.000000000000e+00       1.227190259631e-09       1.034900254757e-10      -6.998578607586e-14 
   10       1.128462480724e-10       1.570645520895e-15       2.314126012229e-13       0.000000000000e+00       1.048617258196e-09       8.993412748404e-11       5.753408968052e-14 
   11       1.126702237302e-10       1.345877279766e-15       1.902602185373e-13       0.000000000000e+00       8.849412930026e-10       7.923215104946e-11       1.234978708461e-13 
   12       1.129329425126e-10       1.289195373990e-15       1.638039633680e-13       0.000000000000e+00       7.731318028605e-10       7.002079650306e-11       1.424655289737e-13 
   13       1.135200074363e-10       1.202035711875e-15       1.502860910589e-13       0.000000000000e+00       6.813596634741e-10       6.250445749489e-11       1.281956686593e-13 
   14       1.143319231250e-10       1.055740150929e-15       1.471557038476e-13       0.000000000000e+00       6.050118839725e-10       5.598910898047e-11       9.337962811138e-14 
   15       1.153746564179e-10       9.101617687544e-16       1.513856883273e-13       0.000000000000e+00       5.407544646317e-10       5.054874901653e-11       5.025874473799e-14 
   16       1.166046932254e-10       8.272166516595e-16       1.599649038312e-13       0.000000000000e+00       4.861266785812e-10       4.593458024418e-11       7.927129257122e-15 
   17       1.179472325913e-10       8.249052871260e-16       1.704153539970e-13       0.000000000000e+00       4.392697976708e-10       4.194882285753e-11      -2.727374670376e-14 
   18       1.193996584766e-10       8.762480306127e-16       1.808510401367e-13       0.000000000000e+00       3.986043386368e-10       3.841335068991e-11      -5.179323316757e-14 
   19       1.209700959654e-10       9.485314366553e-16       1.902971079563e-13       0.000000000000e+00       3.634831518846e-10       3.529640937781e-11      -6.473299757245e-14 
   20       1.226068788656e-10       1.007974190482e-15       1.980239324521e-13       0.000000000000e+00       3.325526416740e-10       3.253951153625e-11      -6.689199827045e-14 
   21       1.243210219107e-10       1.057129734882e-15       2.041096462024e-13       0.000000000000e+00       3.053265289491e-10       3.009787102408e-11      -6.037039463130e-14 
   22       1.261097969845e-10       1.113717566510e-15       2.090045783108e-13       0.000000000000e+00       2.811527810641e-10       2.789181331378e-11      -4.847717728661e-14 
   23       1.279631215664e-10       1.197118767021e-15       2.131785933667e-13       0.000000000000e+00       2.596987656401e-10       2.589318193174e-11      -3.415561505729e-14 
   24       1.298505033327e-10       1.326072036074e-15       2.171736950580e-13       0.000000000000e+00       2.404683565396e-10       2.407140356736e-11      -2.051857586280e-14 
   25       1.317884242803e-10       1.501139627224e-15       2.214475578569e-13       0.000000000000e+00       2.232352534104e-10       2.243454254927e-11      -9.432466258263e-15 
   26       1.337882250994e-10       1.715446772041e-15       2.263964622893e-13       0.000000000000e+00       2.076874299704e-10       2.098231268113e-11      -2.261557609816e-15 
   27       1.358309280420e-10       1.962514903072e-15       2.320618511485e-13       0.000000000000e+00       1.936381926424e-10       1.968095055387e-11       7.955388348321e-16 
   28       1.378810607981e-10       2.235822275305e-15       2.383018588084e-13       0.000000000000e+00       1.808451163510e-10       1.847952139692e-11       1.245861831477e-16 
   29       1.399484818912e-10       2.534907694590e-15       2.448223060901e-13       0.000000000000e+00       1.692427679194e-10       1.737417847052e-11      -3.486179391674e-15 
   30       1.420475789175e-10       2.861092900367e-15       2.511867700672e-13       0.000000000000e+00       1.587064737577e-10       1.636722027811e-11      -8.836155817522e-15 
   31       1.441823684101e-10       3.215066921198e-15       2.568765112685e-13       0.000000000000e+00       1.490212081986e-10       1.545158056461e-11      -1.451095152403e-14 
   32       1.463557962457e-10       3.594642316685e-15       2.615003290055e-13       0.000000000000e+00       1.401369013419e-10       1.461758473779e-11      -1.963575916152e-14 
   33       1.485611929973e-10       3.996055011993e-15       2.646519238904e-13       0.000000000000e+00       1.319906824220e-10       1.384678983097e-11      -2.337680011952e-14 
   34       1.507856656385e-10       4.416032269637e-15       2.659424878917e-13       0.000000000000e+00       1.244685000327e-10       1.311691315226e-11      -2.496395266772e-14 
   35       1.530355922566e-10       4.857225250318e-15       2.653202982616e-13       0.000000000000e+00       1.175318220327e-10       1.242880986060e-11      -2.448278541745e-14 
   36       1.553183855085e-10       5.324745189572e-15       2.628656757520e-13       0.000000000000e+00       1.111249680829e-10       1.178807874059e-11      -2.236995019712e-14 
   37       1.576361276065e-10       5.823892259004e-15       2.586979485610e-13       0.000000000000e+00       1.051645196950e-10       1.119739879348e-11      -1.916826269002e-14 
   38       1.599894775690e-10       6.357000796168e-15       2.529316688057e-13       0.000000000000e+00       9.963505363137e-11       1.065566545517e-11      -1.536183096672e-14 
   39       1.623738273497e-10       6.925598568766e-15       2.457112965826e-13       0.000000000000e+00       9.451900386134e-11       1.015802598688e-11      -1.150171250957e-14 
   40       1.647773747223e-10       7.531251945084e-15       2.372264799822e-13       0.000000000000e+00       8.976754143773e-11       9.695692511791e-12      -8.259727199398e-15 
   41       1.671866009331e-10       8.175277081874e-15       2.276588235674e-13       0.000000000000e+00       8.531758044804e-11       9.258720509906e-12      -6.260724588126e-15 
   42       1.696065023012e-10       8.857759834683e-15       2.169947135459e-13       0.000000000000e+00       8.115600900183e-11       8.846217147418e-12      -5.495697376837e-15 
   43       1.720457865722e-10       9.578217200476e-15       2.051562094821e-13       0.000000000000e+00       7.727177796786e-11       8.458906456747e-12      -5.730232403155e-15 
   44       1.745110162701e-10       1.033583955988e-14       1.920507109132e-13       0.000000000000e+00       7.363662763395e-11       8.096200072196e-12      -6.658780901869e-15 
   45       1.770064105812e-10       1.112978389472e-14       1.775709224317e-13       0.000000000000e+00       7.021517908459e-11       7.756609629530e-12      -7.945990392259e-15 
   46       1.795338042476e-10       1.196020423694e-14       1.615973254355e-13       0.000000000000e+00       6.700203441654e-11       7.439397461420e-12      -9.376214467140e-15 
   47       1.820922260419e-10       1.282749588876e-14       1.439945765052e-13       0.000000000000e+00       6.399343757549e-11       7.143227041171e-12      -1.074091968385e-14 
   48       1.846775769357e-10       1.373200774559e-14       1.246094973810e-13       0.000000000000e+00       6.117608436477e-11       6.865599678300e-12      -1.179477965455e-14 
   49       1.872823691915e-10       1.467404068143e-14       1.032700375848e-13       0.000000000000e+00       5.852641250342e-11       6.602771701352e-12      -1.225374464715e-14 
   50       1.898988367649e-10       1.565383666082e-14       7.983210472393e-14       0.000000000000e+00       5.601769494432e-11       6.350840195269e-12      -1.188517817007e-14 
   51       1.925298671465e-10       1.667154633582e-14       5.433744781881e-14       0.000000000000e+00       5.364523675538e-11       6.109539785335e-12      -1.081158895941e-14 
   52       1.951805858491e-10       1.772724986284e-14       2.689683644759e-14       0.000000000000e+00       5.140679046889e-11       5.879333292736e-12      -9.286006793200e-15 
   53       1.978551446120e-10       1.882096340528e-14      -2.352874932924e-15       0.000000000000e+00       4.929501599204e-11       5.660306088440e-12      -7.609466403015e-15 
   54       2.005566191423e-10       1.995263708261e-14      -3.324753176886e-14       0.000000000000e+00       4.729713787736e-11       5.452138266818e-12      -6.133409638872e-15 
   55       2.032871218308e-10       2.112219393690e-14      -6.563568888262e-14       0.000000000000e+00       4.539884111152e-11       5.254295605344e-12      -5.177280319370e-15 
   56       2.060484069530e-10       2.232966286649e-14      -9.951306196740e-14       0.000000000000e+00       4.359787696485e-11       5.066721743326e-12      -4.751833233473e-15 
   57       2.088412366994e-10       2.357507512355e-14      -1.349193481798e-13       0.000000000000e+00       4.189323680907e-11       4.889269215142e-12      -4.771296735224e-15 
   58       2.116650875355e-10       2.485842574708e-14      -1.719003102380e-13       0.000000000000e+00       4.028103600526e-11       4.721476847406e-12      -5.131275446648e-15 
   59       2.145180563184e-10       2.617967311002e-14      -2.105081673602e-13       0.000000000000e+00       3.875433631132e-11       4.562550456726e-12      -5.707848241558e-15 
   60       2.173967664147e-10       2.753873846646e-14      -2.508019862030e-13       0.000000000000e+00       3.730296828940e-11       4.411343547451e-12      -6.356666229355e-15 
   61       2.202978179236e-10       2.893543710997e-14      -2.928352278453e-13       0.000000000000e+00       3.591635385540e-11       4.266665955534e-12      -6.942846644017e-15 
   62       2.232227311217e-10       3.036925481609e-14      -3.366142379577e-13       0.000000000000e+00       3.459311603500e-11       4.128334403267e-12      -7.440536157925e-15 
   63       2.261739510812e-10       3.183952018808e-14      -3.821310906301e-13       0.000000000000e+00       3.333332089593e-11       3.996324573803e-12      -7.854196684294e-15 
   64       2.291533574776e-10       3.334546604693e-14      -4.293755938856e-13       0.000000000000e+00       3.213558697656e-11       3.870455252674e-12      -8.189855133664e-15 
   65       2.321622197009e-10       3.488622680867e-14      -4.783352730902e-13       0.000000000000e+00       3.099700288566e-11       3.750379431019e-12      -8.455178528480e-15 
   66       2.352011519659e-10       3.646083586161e-14      -5.289953543616e-13       0.000000000000e+00       2.991304490203e-11       3.635575408817e-12      -8.659549117682e-15 
   67       2.382700684228e-10       3.806822294354e-14      -5.813387479792e-13       0.000000000000e+00       2.887749457420e-11       3.525337898121e-12      -8.814139491289e-15 
   68       2.413686677400e-10       3.970732600151e-14      -6.353473191383e-13       0.000000000000e+00       2.788409858789e-11       3.418973788957e-12      -8.930600285894e-15 
   69       2.444981012097e-10       4.137745895347e-14      -6.910060362980e-13       0.000000000000e+00       2.693212311432e-11       3.316455396478e-12      -9.016646622771e-15 
   70       2.476595635561e-10       4.307801407556e-14      -7.482996374559e-13       0.000000000000e+00       2.602178206269e-11       3.217884204511e-12      -9.079708196023e-15 
   71       2.508537625847e-10       4.480835441269e-14      -8.072114332170e-13       0.000000000000e+00       2.515255722969e-11       3.123294317729e-12      -9.128276474526e-15 
   72       2.540808878339e-10       4.656781408377e-14      -8.677233231276e-13       0.000000000000e+00       2.432316045852e-11       3.032648799219e-12      -9.171944332918e-15 
   73       2.573405792276e-10       4.835569858682e-14      -9.298158120090e-13       0.000000000000e+00       2.353149579784e-11       2.945836008057e-12      -9.221445682566e-15 
   74       2.606318957273e-10       5.017128510427e-14      -9.934680262915e-13       0.000000000000e+00       2.277462166070e-11       2.862665936880e-12      -9.288695102549e-15 
   75       2.639532839844e-10       5.201382280804e-14      -1.058657730348e-12       0.000000000000e+00       2.204871298354e-11       2.782866549455e-12      -9.386827470637e-15 
   76       2.673032168112e-10       5.388238964090e-14      -1.125357274570e-12       0.000000000000e+00       2.135001018794e-11       2.706156229883e-12      -9.526366568537e-15 
   77       2.706823123067e-10       5.577543183436e-14      -1.193520550448e-12       0.000000000000e+00       2.067794949592e-11       2.632484478541e-12      -9.702836682900e-15 
   78       2.740915460061e-10       5.769114058398e-14      -1.263093675309e-12       0.000000000000e+00       2.003253734528e-11       2.561828658241e-12      -9.906953425783e-15 
   79       2.775315980166e-10       5.962758552863e-14      -1.334018783541e-12       0.000000000000e+00       1.941339690620e-11       2.494119708735e-12      -1.012825524356e-14 
   80       2.810028354039e-10       6.158271211261e-14      -1.406233959502e-12       0.000000000000e+00       1.881975047536e-11       2.429240045023e-12      -1.035506366939e-14 
   81       2.845052945802e-10       6.355433894777e-14      -1.479673170431e-12       0.000000000000e+00       1.825040187011e-11       2.367021455652e-12      -1.057444357565e-14 
   82       2.880386636912e-10       6.554015517564e-14      -1.554266199360e-12       0.000000000000e+00       1.770371882264e-11       2.307243001023e-12      -1.077216342646e-14 
   83       2.916022650036e-10       6.753771782953e-14      -1.629938578022e-12       0.000000000000e+00       1.717761537409e-11       2.249628911688e-12      -1.093265553005e-14 
   84       2.951954192763e-10       6.954468776006e-14      -1.706620165824e-12       0.000000000000e+00       1.667005848754e-11       2.193914438775e-12      -1.104224848438e-14 
   85       2.988186468570e-10       7.155958812816e-14      -1.784272667801e-12       0.000000000000e+00       1.618072294980e-11       2.140060551886e-12      -1.109956728364e-14 
   86       3.024726343360e-10       7.358116740238e-14      -1.862866576757e-12       0.000000000000e+00       1.570957981337e-11       2.088071145692e-12      -1.110679247022e-14 
   87       3.061578592382e-10       7.560817332672e-14      -1.942373009888e-12       0.000000000000e+00       1.525638790451e-11       2.037927306880e-12      -1.106655625789e-14 
