# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.472598410694e-10       7.143685122344e-15       4.716374662431e-13       2.280542923130e-19       8.516024099036e-09       4.789738079965e-10      -2.466538798046e-12 
    3       1.388768726122e-10       1.211451196813e-14       5.947228411660e-13       4.563260663207e-19       5.326636824929e-09       3.419632500989e-10      -2.169482046283e-12 
    4       1.306052959602e-10       1.415421754902e-14       6.154205784133e-13       7.610192453104e-19       3.714265093985e-09       2.600793921731e-10      -1.731303759226e-12 
    5       1.240564050895e-10       1.309907396466e-14       5.764401311868e-13       1.142403241086e-18       2.774326640017e-09       2.062455789126e-10      -1.285612454298e-12 
    6       1.192406519587e-10       1.011440956191e-14       5.073093566401e-13       1.600797797446e-18       2.166991358058e-09       1.683442874643e-10      -8.786882002901e-13 
    7       1.158579167131e-10       6.708566460790e-15       4.280938332889e-13       2.136562635760e-18       1.746637169679e-09       1.403521315602e-10      -5.344586282369e-13 
    8       1.136096810064e-10       3.968169435853e-15       3.508474562943e-13       2.750085970128e-18       1.441906378995e-09       1.189682479402e-10      -2.636364994644e-13 
    9       1.122531058849e-10       2.298255959955e-15       2.826824041376e-13       3.441772340946e-18       1.213516550874e-09       1.022179148102e-10      -6.794187548993e-14 
   10       1.115745179524e-10       1.551758657528e-15       2.275796580967e-13       4.212030240816e-18       1.037488312290e-09       8.884684589594e-11       5.776409787045e-14 
   11       1.114427410585e-10       1.334350361657e-15       1.872072611021e-13       5.061260012722e-18       8.725665054988e-10       7.822248468432e-11       1.228339996129e-13 
   12       1.117357936751e-10       1.281188156161e-15       1.612596061405e-13       5.989842487049e-18       7.622594703867e-10       6.911284319021e-11       1.415849285797e-13 
   13       1.123519538920e-10       1.196429959472e-15       1.480171870215e-13       6.998128791893e-18       6.717240429994e-10       6.169081284700e-11       1.275738154658e-13 
   14       1.131924617017e-10       1.051883597983e-15       1.449541263973e-13       8.086431721466e-18       5.964090309709e-10       5.525701057901e-11       9.323162849266e-14 
   15       1.142620538034e-10       9.070976716440e-16       1.490712410697e-13       9.255018982320e-18       5.330236708539e-10       4.988638258577e-11       5.062728945810e-14 
   16       1.155090194081e-10       8.239073979416e-16       1.574651387843e-13       1.050410855920e-17       4.791399846333e-10       4.532265435733e-11       8.736285238710e-15 
   17       1.168758904529e-10       8.207088129194e-16       1.676958287671e-13       1.183386635470e-17       4.329238093590e-10       4.137559705229e-11      -2.615709058687e-14 
   18       1.183477347766e-10       8.712255807063e-16       1.779124459071e-13       1.324440505426e-17       3.928155584220e-10       3.788499242838e-11      -5.051486103565e-14 
   19       1.199327813707e-10       9.430838202572e-16       1.871498197272e-13       1.473579194454e-17       3.581795746295e-10       3.481571139127e-11      -6.344323444247e-14 
   20       1.215877593774e-10       1.002631455966e-15       1.946779005817e-13       1.630804122717e-17       3.276776093753e-10       3.209875652974e-11      -6.573046731262e-14 
   21       1.233219137616e-10       1.052015941471e-15       2.005785300742e-13       1.796113668842e-17       3.008296833783e-10       2.968849917184e-11      -5.943440686030e-14 
   22       1.251282002993e-10       1.108330109253e-15       2.053066886158e-13       1.969502255595e-17       2.769933004306e-10       2.750867171948e-11      -4.780026860497e-14 
   23       1.269983262987e-10       1.190657067245e-15       2.093328795131e-13       2.150963065235e-17       2.558401838232e-10       2.553437257038e-11      -3.371813036960e-14 
   24       1.289053129974e-10       1.317595599907e-15       2.131973292534e-13       2.340487120429e-17       2.368805976184e-10       2.373794705511e-11      -2.025153775842e-14 
   25       1.308635588102e-10       1.489869818149e-15       2.173532873386e-13       2.538066474690e-17       2.198911708728e-10       2.212491505071e-11      -9.254414695135e-15 
   26       1.328811859281e-10       1.700863215570e-15       2.221900075235e-13       2.743693084796e-17       2.045641003790e-10       2.069142265803e-11      -2.095994540753e-15 
   27       1.349405780585e-10       1.944095723647e-15       2.277383360879e-13       2.957361622013e-17       1.907151692990e-10       1.940547799915e-11       1.004302269408e-15 
   28       1.370090188112e-10       2.212977959997e-15       2.338456579152e-13       3.179068755398e-17       1.781052201324e-10       1.821954653185e-11       4.036810665359e-16 
   29       1.390963989075e-10       2.507060648035e-15       2.402179859492e-13       3.408816457133e-17       1.666696404472e-10       1.713013134819e-11      -3.126741924399e-15 
   30       1.412163028666e-10       2.827716516411e-15       2.464237701004e-13       3.646610122163e-17       1.562854301015e-10       1.613894075106e-11      -8.403282084728e-15 
   31       1.433720535714e-10       3.175701631630e-15       2.519548350655e-13       3.892458578693e-17       1.467405168994e-10       1.523830846458e-11      -1.402874343826e-14 
   32       1.455665708555e-10       3.548887714995e-15       2.564487096689e-13       4.146376437393e-17       1.379854682136e-10       1.441813929093e-11      -1.913067177336e-14 
   33       1.477935106552e-10       3.943579020691e-15       2.595390789917e-13       4.408383376977e-17       1.299582419593e-10       1.365963799742e-11      -2.287218226010e-14 
   34       1.500403022149e-10       4.356558077850e-15       2.608692068235e-13       4.678503586062e-17       1.225463478984e-10       1.294032032598e-11      -2.447891399496e-14 
   35       1.523128317369e-10       4.790415952147e-15       2.603540554563e-13       4.956764322944e-17       1.157117567783e-10       1.226142651848e-11      -2.403303993929e-14 
   36       1.546177427648e-10       5.250153012421e-15       2.580115585838e-13       5.243197571336e-17       1.093995456126e-10       1.162926876563e-11      -2.196719835922e-14 
   37       1.569565234010e-10       5.740949239392e-15       2.539027625110e-13       5.537838694319e-17       1.035274543246e-10       1.104723873757e-11      -1.881916950689e-14 
   38       1.593302332428e-10       6.265065609534e-15       2.481534885631e-13       5.840719103756e-17       9.808024947690e-11       1.051414732105e-11      -1.506770986368e-14 
   39       1.617351327115e-10       6.823964159301e-15       2.409452458004e-13       6.151871662494e-17       9.304059115777e-11       1.002480168945e-11      -1.125760535283e-14 
   40       1.641605621057e-10       7.419137535405e-15       2.325137477453e-13       6.471332937917e-17       8.836033057810e-11       9.570029108473e-12      -8.053204342678e-15 
   41       1.665940340373e-10       8.051847871217e-15       2.230809961237e-13       6.799139766958e-17       8.397727076266e-11       9.139553003699e-12      -6.072670315666e-15 
   42       1.690401107212e-10       8.722241671379e-15       2.126168893513e-13       7.135317062347e-17       7.987846988683e-11       8.732536767081e-12      -5.307997962922e-15 
   43       1.715065472622e-10       9.429946449497e-15       2.010056476223e-13       7.479886417757e-17       7.605302279184e-11       8.349919477716e-12      -5.528690182318e-15 
   44       1.739987942694e-10       1.017428896847e-14       1.881088594185e-13       7.832869401511e-17       7.247306661162e-11       7.991401446838e-12      -6.434236220895e-15 
   45       1.765200697332e-10       1.095454696658e-14       1.737794784015e-13       8.194284139631e-17       6.910372483411e-11       7.655791208145e-12      -7.694803763974e-15 
   46       1.790722428197e-10       1.177083684596e-14       1.579124774532e-13       8.564133911205e-17       6.593966528865e-11       7.342425004783e-12      -9.098433302897e-15 
   47       1.816547504795e-10       1.262346049564e-14       1.404066865679e-13       8.942415097012e-17       6.297717558169e-11       7.049987737460e-12      -1.044018945117e-14 
   48       1.842640295815e-10       1.351265591665e-14       1.211499060786e-13       9.329120056408e-17       6.020313695640e-11       6.776014890751e-12      -1.147893552857e-14 
   49       1.868932640887e-10       1.443859461534e-14       1.000182436985e-13       9.724236904790e-17       5.759432496692e-11       6.516810612740e-12      -1.193543347569e-14 
   50       1.895353005615e-10       1.540141453016e-14       7.690831698280e-14       1.012774880321e-16       5.512439819160e-11       6.268515414836e-12      -1.158069692428e-14 
   51       1.921929141785e-10       1.640133539620e-14       5.184570356802e-14       1.053963211616e-16       5.278872319680e-11       6.030840990395e-12      -1.053373158917e-14 
   52       1.948708922893e-10       1.743857018916e-14       2.490478255950e-14       1.095985736909e-16       5.058507920142e-11       5.804207566033e-12      -9.041328725848e-15 
   53       1.975730083732e-10       1.851329141624e-14      -3.820695337062e-15       1.138838945289e-16       4.850622945575e-11       5.588655725499e-12      -7.397166988594e-15 
   54       2.003019183129e-10       1.962563018160e-14      -3.421672416639e-14       1.182518737840e-16       4.653958370577e-11       5.383818589089e-12      -5.944159552359e-15 
   55       2.030593646146e-10       2.077567313397e-14      -6.617611697120e-14       1.227020880309e-16       4.467103568871e-11       5.189121265194e-12      -4.994336197138e-15 
   56       2.058470861036e-10       2.196345456276e-14      -9.968962904011e-14       1.272342549041e-16       4.289836524567e-11       5.004500961650e-12      -4.559805488310e-15 
   57       2.086659525319e-10       2.318896070147e-14      -1.347759238497e-13       1.318481126087e-16       4.122057436120e-11       4.829817035568e-12      -4.559068994452e-15 
   58       2.115155867009e-10       2.445213067846e-14      -1.714557996250e-13       1.365433749810e-16       3.963383276530e-11       4.664620841524e-12      -4.892783712056e-15 
   59       2.143942727326e-10       2.575285549985e-14      -2.097523949593e-13       1.413197308928e-16       3.813130306133e-11       4.508136765728e-12      -5.442896263849e-15 
   60       2.172988643420e-10       2.709097703245e-14      -2.496913944331e-13       1.461768436559e-16       3.670296585378e-11       4.359243260205e-12      -6.071777097129e-15 
   61       2.202261656417e-10       2.846623804628e-14      -2.912964133640e-13       1.511144217009e-16       3.533839966817e-11       4.216774037279e-12      -6.650444595496e-15 
   62       2.231776432531e-10       2.987812153957e-14      -3.345734763248e-13       1.561324505000e-16       3.403624548221e-11       4.080543561169e-12      -7.152599158656e-15 
   63       2.261556139194e-10       3.132597337959e-14      -3.795234036823e-13       1.612310118818e-16       3.279656596472e-11       3.950519131354e-12      -7.580255758064e-15 
   64       2.291618211902e-10       3.280904554147e-14      -4.261463766492e-13       1.664102189834e-16       3.161799863389e-11       3.826512401072e-12      -7.936572608060e-15 
   65       2.321973904151e-10       3.432649353825e-14      -4.744419899412e-13       1.716702179166e-16       3.049767473848e-11       3.708170569942e-12      -8.225908365139e-15 
   66       2.352627837386e-10       3.587737385101e-14      -5.244093044337e-13       1.770111894330e-16       2.943113813903e-11       3.594967576581e-12      -8.453879327239e-15 
   67       2.383577550938e-10       3.746064135888e-14      -5.760468998188e-13       1.824333505908e-16       2.841226418891e-11       3.486195291225e-12      -8.627416633021e-15 
   68       2.414818617977e-10       3.907526257523e-14      -6.293508579341e-13       1.879369496228e-16       2.743489405350e-11       3.381161368436e-12      -8.754448792663e-15 
   69       2.446362203136e-10       4.072058774466e-14      -6.843081205326e-13       1.935222456101e-16       2.649830353734e-11       3.279849045900e-12      -8.842746724400e-15 
   70       2.478220270363e-10       4.239604987231e-14      -7.409018740337e-13       1.991895276635e-16       2.560270175138e-11       3.182375830544e-12      -8.900946371959e-15 
   71       2.510400029506e-10       4.410105597367e-14      -7.991134995045e-13       2.049391228220e-16       2.474757714375e-11       3.088795208694e-12      -8.938949429800e-15 
   72       2.542903628606e-10       4.583498746644e-14      -8.589225723936e-13       2.107713975451e-16       2.393166025403e-11       2.999093124121e-12      -8.967970960087e-15 
   73       2.575727846191e-10       4.759720056234e-14      -9.203068622631e-13       2.166867592041e-16       2.315288646753e-11       2.913184456083e-12      -9.000587009650e-15 
   74       2.608863783574e-10       4.938702665903e-14      -9.832423325221e-13       2.226856575749e-16       2.240835876950e-11       2.830909497367e-12      -9.050782226957e-15 
   75       2.642296557147e-10       5.120377273194e-14      -1.047703140159e-12       2.287685863298e-16       2.169431049939e-11       2.752030432337e-12      -9.133997479079e-15 
   76       2.676011507765e-10       5.304658152280e-14      -1.113658592492e-12       2.349359981410e-16       2.100703957392e-11       2.676295037212e-12      -9.262797970597e-15 
   77       2.710014816330e-10       5.491398180518e-14      -1.181063377319e-12       2.411880288211e-16       2.034599016740e-11       2.603648976888e-12      -9.432860366807e-15 
   78       2.744316105988e-10       5.680425643862e-14      -1.249865542425e-12       2.475247253553e-16       1.971116793351e-11       2.534056002644e-12      -9.634504993252e-15 
   79       2.778922087294e-10       5.871557285342e-14      -1.320009318866e-12       2.539461275525e-16       1.910220134546e-11       2.467432055486e-12      -9.856807135957e-15 
   80       2.813836384147e-10       6.064598056755e-14      -1.391435058297e-12       2.604522677653e-16       1.851832437098e-11       2.403643122633e-12      -1.008755485324e-14 
   81       2.849059359721e-10       6.259340870350e-14      -1.464079170310e-12       2.670431706114e-16       1.795835914730e-11       2.342503094012e-12      -1.031320678752e-14 
   82       2.884587942401e-10       6.455566350517e-14      -1.537874059768e-12       2.737188526934e-16       1.742069865620e-11       2.283771618744e-12      -1.051884997713e-14 
   83       2.920415451713e-10       6.653042585474e-14      -1.612748064138e-12       2.804793223198e-16       1.690328939899e-11       2.227151961636e-12      -1.068815766813e-14 
   84       2.956535161129e-10       6.851546301199e-14      -1.688633507897e-12       2.873245893076e-16       1.640412999774e-11       2.172360953750e-12      -1.080676547084e-14 
   85       2.992952046379e-10       7.050930960272e-14      -1.765492537196e-12       2.942546968690e-16       1.592289992061e-11       2.119356863335e-12      -1.087313531906e-14 
   86       3.029672674671e-10       7.251069549604e-14      -1.843295473054e-12       3.012696945231e-16       1.545957025556e-11       2.068145546689e-12      -1.088942354900e-14 
   87       3.066701531370e-10       7.451834272015e-14      -1.922013147748e-12       3.083696283754e-16       1.501390326452e-11       2.018710794704e-12      -1.085823772335e-14 
   88       3.104040908733e-10       7.653096657967e-14      -2.001616978566e-12       3.155545410080e-16       1.458544372948e-11       1.971013401020e-12      -1.078265189421e-14 
   89       3.141690794647e-10       7.854727677284e-14      -2.082079041568e-12       3.228244713698e-16       1.417351029846e-11       1.924990230182e-12      -1.066622186611e-14 
   90       3.179648761369e-10       8.056597850880e-14      -2.163372145334e-12       3.301794546660e-16       1.377718683158e-11       1.880553285794e-12      -1.051300045897e-14 
   91       3.217909854262e-10       8.258577362484e-14      -2.245469904726e-12       3.376195222487e-16       1.339531374709e-11       1.837588778675e-12      -1.032755277110e-14 
   92       3.256466480533e-10       8.460536170365e-14      -2.328346814639e-12       3.451447015065e-16       1.302647936741e-11       1.795956195012e-12      -1.011497144220e-14 
   93       3.295311052741e-10       8.662335817058e-14      -2.411971044274e-12       3.527551187488e-16       1.266935457459e-11       1.755523547491e-12      -9.880396506268e-15 
   94       3.334444615787e-10       8.863803206793e-14      -2.496281420045e-12       3.604513257957e-16       1.232377314857e-11       1.716281217399e-12      -9.627459192662e-15 
   95       3.373869317750e-10       9.064753072406e-14      -2.581207101161e-12       3.682340225326e-16       1.198979866760e-11       1.678243591161e-12      -9.359631203308e-15 
   96       3.413585698258e-10       9.264995923727e-14      -2.666674524839e-12       3.761039595789e-16       1.166739178780e-11       1.641413973625e-12      -9.080707617351e-15 
   97       3.453592615049e-10       9.464338045347e-14      -2.752607380132e-12       3.840619395921e-16       1.135640630168e-11       1.605784152894e-12      -8.794815353735e-15 
   98       3.493887170513e-10       9.662581494381e-14      -2.838926581766e-12       3.921088185715e-16       1.105658519679e-11       1.571333965160e-12      -8.506421633767e-15 
   99       3.534464638252e-10       9.859524098234e-14      -2.925550243969e-12       4.002455071618e-16       1.076755671428e-11       1.538030859535e-12      -8.220342443695e-15 
  100       3.575318389628e-10       1.005495945237e-13      -3.012393654299e-12       4.084729719574e-16       1.048883040749e-11       1.505829462887e-12      -7.941750997276e-15 
  101       3.616439820318e-10       1.024867691806e-13      -3.099369247480e-12       4.167922368057e-16       1.021979320055e-11       1.474671144669e-12      -7.676186198348e-15 
  102       3.657818276862e-10       1.044046162017e-13      -3.186386579230e-12       4.252043841114e-16       9.959705446961e-12       1.444483581756e-12      -7.429561103401e-15 
  103       3.699440983219e-10       1.063009444492e-13      -3.273352300093e-12       4.337105561398e-16       9.707696988165e-12       1.415180323276e-12      -7.208171384148e-15 
  104       3.741295781623e-10       1.081736161692e-13      -3.360176092992e-12       4.423118441742e-16       9.462964257255e-12       1.386680501641e-12      -7.017250584075e-15 
  105       3.783379935022e-10       1.100208490846e-13      -3.446789455722e-12       4.510089361263e-16       9.225400402838e-12       1.358971935397e-12      -6.856395392795e-15 
  106       3.825692382330e-10       1.118409552590e-13      -3.533129418724e-12       4.598024235322e-16       8.995043334054e-12       1.332055779059e-12      -6.723535292718e-15 
  107       3.868230988291e-10       1.136322499659e-13      -3.619132846826e-12       4.686929095186e-16       8.771880565395e-12       1.305926926912e-12      -6.616323164277e-15 
  108       3.910992500964e-10       1.153930527188e-13      -3.704736478609e-12       4.776810088743e-16       8.555847484582e-12       1.280573799236e-12      -6.532127779202e-15 
  109       3.953972509196e-10       1.171216883020e-13      -3.789876965775e-12       4.867673481220e-16       8.346825620437e-12       1.255978128520e-12      -6.468026293791e-15 
  110       3.997165400105e-10       1.188164878003e-13      -3.874490912510e-12       4.959525655891e-16       8.144640910760e-12       1.232114745687e-12      -6.420796742186e-15 
  111       4.040564316557e-10       1.204757896298e-13      -3.958514914857e-12       5.052373114797e-16       7.949061970204e-12       1.208951366312e-12      -6.386910529651e-15 
  112       4.084161114641e-10       1.220979405682e-13      -4.041885600076e-12       5.146222479457e-16       7.759798358147e-12       1.186448376840e-12      -6.362524925841e-15 
  113       4.127946321154e-10       1.236812967847e-13      -4.124539666013e-12       5.241080491583e-16       7.576498846568e-12       1.164558620806e-12      -6.343475558077e-15 
  114       4.171909091074e-10       1.252242248707e-13      -4.206413920468e-12       5.336954013794e-16       7.398749687924e-12       1.143227185061e-12      -6.325268904624e-15 
  115       4.216037165042e-10       1.267251028700e-13      -4.287445320558e-12       5.433850030333e-16       7.226072883020e-12       1.122391185980e-12      -6.303074787963e-15 
  116       4.260318575520e-10       1.281823518421e-13      -4.367569648934e-12       5.531775603856e-16       7.058030894769e-12       1.101994142806e-12      -6.272710667772e-15 
  117       4.304747091508e-10       1.295945327020e-13      -4.446717275668e-12       5.630737738335e-16       6.894558935891e-12       1.082031537206e-12      -6.233746333282e-15 
  118       4.349317359035e-10       1.309602631438e-13      -4.524816952612e-12       5.730743500751e-16       6.735670016512e-12       1.062510417232e-12      -6.186764343516e-15 
  119       4.394023184942e-10       1.322781894476e-13      -4.601797157471e-12       5.831800063848e-16       6.581351330809e-12       1.043435221957e-12      -6.132403251606e-15 
  120       4.438857509825e-10       1.335469877795e-13      -4.677586121108e-12       5.933914706456e-16       6.431563466054e-12       1.024807696670e-12      -6.071358867298e-15 
  121       4.483812380974e-10       1.347653654922e-13      -4.752111854864e-12       6.037094813820e-16       6.286239611651e-12       1.006626808071e-12      -6.004385519457e-15 
  122       4.528878925314e-10       1.359320624252e-13      -4.825302177869e-12       6.141347877923e-16       6.145284768182e-12       9.888886594681e-13      -5.932297318565e-15 
  123       4.574047322340e-10       1.370458522049e-13      -4.897084744358e-12       6.246681497816e-16       6.008574956441e-12       9.715864059688e-13      -5.855969419228e-15 
  124       4.619306777064e-10       1.381055435451e-13      -4.967387070982e-12       6.353103379937e-16       5.875956426482e-12       9.547101696794e-13      -5.776339282674e-15 
  125       4.664645492950e-10       1.391099815470e-13      -5.036136564123e-12       6.460621338446e-16       5.747244866654e-12       9.382469548973e-13      -5.694407939260e-15 
  126       4.710050644855e-10       1.400580490000e-13      -5.103260547211e-12       6.569243295544e-16       5.622224612644e-12       9.221805633073e-13      -5.611241250972e-15 
  127       4.755508351970e-10       1.409486676814e-13      -5.168686288032e-12       6.678977281801e-16       5.500647856518e-12       9.064915091763e-13      -5.527971173928e-15 
  128       4.801003650760e-10       1.417807996569e-13      -5.232341026047e-12       6.789831436483e-16       5.382233855762e-12       8.911569345484e-13      -5.445797020879e-15 
  129       4.846522081978e-10       1.425534926178e-13      -5.294153277098e-12       6.901814132867e-16       5.266729225110e-12       8.761559277172e-13      -5.365756354955e-15 
  130       4.892054706037e-10       1.432660187529e-13      -5.354056851341e-12       7.014934369041e-16       5.154097970119e-12       8.614863184259e-13      -5.288006573024e-15 
  131       4.937593589255e-10       1.439177536391e-13      -5.411987329756e-12       7.129201420789e-16       5.044350902808e-12       8.471495734339e-13      -5.212466530150e-15 
  132       4.983130223739e-10       1.445081351697e-13      -5.467880862357e-12       7.244624721655e-16       4.937486077176e-12       8.331455127099e-13      -5.139039461624e-15 
  133       5.028655511876e-10       1.450366651698e-13      -5.521674204647e-12       7.361213864163e-16       4.833488435332e-12       8.194722632902e-13      -5.067612597034e-15 
  134       5.074159750820e-10       1.455029110118e-13      -5.573304754072e-12       7.478978601035e-16       4.732329453625e-12       8.061262131382e-13      -4.998056774331e-15 
  135       5.119632616986e-10       1.459065072308e-13      -5.622710586480e-12       7.597928846417e-16       4.633966788763e-12       7.931019650030e-13      -4.930226053898e-15 
  136       5.165063150536e-10       1.462471571398e-13      -5.669830492566e-12       7.718074677091e-16       4.538343923948e-12       7.803922902787e-13      -4.863957332616e-15 
  137       5.210439739869e-10       1.465246344452e-13      -5.714604014338e-12       7.839426333704e-16       4.445389814996e-12       7.679880828632e-13      -4.799069957934e-15 
  138       5.255750106113e-10       1.467387848624e-13      -5.756971481560e-12       7.961994221980e-16       4.355018536471e-12       7.558783130173e-13      -4.735365341934e-15 
  139       5.300981287613e-10       1.468895277309e-13      -5.796874048217e-12       8.085788913950e-16       4.267128927804e-12       7.440499812238e-13      -4.672626575400e-15 
  140       5.346119624418e-10       1.469768576296e-13      -5.834253728960e-12       8.210821149161e-16       4.181604239426e-12       7.324880720460e-13      -4.610618041889e-15 
  141       5.391150742779e-10       1.470008459927e-13      -5.869053435568e-12       8.337101835907e-16       4.098311778893e-12       7.211755079875e-13      -4.549085031792e-15 
  142       5.436059539627e-10       1.469616427246e-13      -5.901217013398e-12       8.464642052443e-16       4.017102557013e-12       7.100931033505e-13      -4.487753356408e-15 
  143       5.480830167075e-10       1.468594778155e-13      -5.930689277842e-12       8.593453048206e-16       3.937810933970e-12       6.992195180950e-13      -4.426328962008e-15 
  144       5.525447318052e-10       1.466946750697e-13      -5.957416412282e-12       8.723545177796e-16       3.860289322005e-12       6.885358797326e-13      -4.364557983044e-15 
  145       5.569900258841e-10       1.464676914057e-13      -5.981347129235e-12       8.854924581889e-16       3.784516896358e-12       6.780402599588e-13      -4.302414389104e-15 
  146       5.614179166464e-10       1.461790845195e-13      -6.002431693513e-12       8.987596179902e-16       3.710500978968e-12       6.677345441549e-13      -4.239930189913e-15 
  147       5.658273855265e-10       1.458295027896e-13      -6.020621609189e-12       9.121564702981e-16       3.638242793236e-12       6.576198723662e-13      -4.177136619114e-15 
  148       5.702173768881e-10       1.454196869617e-13      -6.035869658131e-12       9.256834689091e-16       3.567737311633e-12       6.476966199894e-13      -4.114064095686e-15 
  149       5.745867972202e-10       1.449504718343e-13      -6.048129938534e-12       9.393410478098e-16       3.498973103300e-12       6.379643784585e-13      -4.050742185363e-15 
  150       5.789345143346e-10       1.444227879430e-13      -6.057357903450e-12       9.531296206862e-16       3.431932181647e-12       6.284219359326e-13      -3.987199562050e-15 
  151       5.832593565621e-10       1.438376632462e-13      -6.063510399321e-12       9.670495804317e-16       3.366589851957e-12       6.190672579817e-13      -3.923463969250e-15 
  152       5.875601119498e-10       1.431962248096e-13      -6.066545704512e-12       9.811012986564e-16       3.302914558985e-12       6.098974682742e-13      -3.859562181473e-15 
  153       5.918355274574e-10       1.424997004915e-13      -6.066423567841e-12       9.952851251954e-16       3.240867734561e-12       6.009088292632e-13      -3.795519965664e-15 
  154       5.960843081540e-10       1.417494206275e-13      -6.063105247113e-12       1.009601387617e-15       3.180403645190e-12       5.920967228738e-13      -3.731362042616e-15 
  155       6.003051164152e-10       1.409468197159e-13      -6.056553547653e-12       1.024050390734e-15       3.121469239655e-12       5.834556311892e-13      -3.667112048392e-15 
  156       6.044965711196e-10       1.400934381024e-13      -6.046732860834e-12       1.038632416107e-15       3.064003996618e-12       5.749791171382e-13      -3.602792495746e-15 
  157       6.086572468455e-10       1.391909236652e-13      -6.033609202613e-12       1.053347721560e-15       3.007939772217e-12       5.666598051814e-13      -3.538424735536e-15 
  158       6.127856730679e-10       1.382410335002e-13      -6.017150252060e-12       1.068196540682e-15       2.953200647675e-12       5.584893619983e-13      -3.474028918150e-15 
  159       6.168803333549e-10       1.372456356056e-13      -5.997325389894e-12       1.083179082341e-15       2.899702776895e-12       5.504584771740e-13      -3.409623954920e-15 
  160       6.209396645649e-10       1.362067105673e-13      -5.974105737011e-12       1.098295530193e-15       2.847354234065e-12       5.425568438860e-13      -3.345227479544e-15 
  161       6.249621657592e-10       1.351263102005e-13      -5.947464103249e-12       1.113546047031e-15       2.796073834745e-12       5.347755497219e-13      -3.280859930233e-15 
  162       6.289467374510e-10       1.340064258285e-13      -5.917374747694e-12       1.128930789324e-15       2.745849789509e-12       5.271145272751e-13      -3.216557282822e-15 
