# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494368248808e-10       7.261212276229e-15       4.802510413927e-13       2.290887176937e-19       8.688473288127e-09       4.835811595711e-10      -2.505290111314e-12 
    3       1.408490824593e-10       1.229830399426e-14       6.045280070185e-13       4.583984495778e-19       5.383570405737e-09       3.445681511763e-10      -2.201980518155e-12 
    4       1.323902427276e-10       1.435931095806e-14       6.250556980980e-13       7.644809137426e-19       3.745173832719e-09       2.620160850341e-10      -1.756097020535e-12 
    5       1.256897900535e-10       1.328184304695e-14       5.850959354415e-13       1.147609810594e-18       2.792921349189e-09       2.077395452475e-10      -1.303323718025e-12 
    6       1.207557224218e-10       1.025154769123e-14       5.146614404004e-13       1.608109896897e-18       2.178416255643e-09       1.695182912394e-10      -8.904390366730e-13 
    7       1.172819701148e-10       6.797325810964e-15       4.341074123228e-13       2.146346421113e-18       1.755547831728e-09       1.413188502629e-10      -5.414783991812e-13 
    8       1.149623568192e-10       4.019510499357e-15       3.556301437539e-13       2.762713406705e-18       1.450327753870e-09       1.197896536642e-10      -2.671113509254e-13 
    9       1.135497275662e-10       2.327216795517e-15       2.864252867390e-13       3.457621241935e-18       1.221133483640e-09       1.029189016087e-10      -6.894597910687e-14 
   10       1.128263745546e-10       1.570595041943e-15       2.305333765587e-13       4.231484060311e-18       1.043612169370e-09       8.943656135916e-11       5.830945532785e-14 
   11       1.126583979972e-10       1.349914911131e-15       1.895913366784e-13       5.084707401867e-18       8.786261827511e-10       7.876465839463e-11       1.241826615610e-13 
   12       1.129227637814e-10       1.295704771225e-15       1.632586633508e-13       6.017676631801e-18       7.674294582290e-10       6.957828515075e-11       1.431684596257e-13 
   13       1.135148932615e-10       1.209704441159e-15       1.498048109226e-13       7.030746560036e-18       6.761787927463e-10       6.209358408075e-11       1.289931791227e-13 
   14       1.143358118750e-10       1.063358369231e-15       1.466379737305e-13       8.124232654547e-18       6.002801925681e-10       5.560457263978e-11       9.423577145898e-14 
   15       1.153891356538e-10       9.168319936805e-16       1.507739160514e-13       9.298404174636e-18       5.364129107585e-10       5.018961108358e-11       5.113184138772e-14 
   16       1.166227858354e-10       8.325195276036e-16       1.592572277264e-13       1.055347947072e-17       4.821267004508e-10       4.559072093674e-11       8.790448360259e-15 
   17       1.179784984176e-10       8.290693527563e-16       1.695547181942e-13       1.188962360756e-17       4.355713016069e-10       4.161653262437e-11      -2.643209762969e-14 
   18       1.194411421812e-10       8.800210835720e-16       1.798285323460e-13       1.330694723839e-17       3.951739328094e-10       3.810474963238e-11      -5.099347020732e-14 
   19       1.210188200332e-10       9.526045851925e-16       1.891302364410e-13       1.480551462954e-17       3.602917009344e-10       3.501811530442e-11      -6.401204902014e-14 
   20       1.226673306716e-10       1.012712062841e-15       1.967348011352e-13       1.638533583268e-17       3.295763389576e-10       3.228508015066e-11      -6.630143021108e-14 
   21       1.243959931703e-10       1.062547691192e-15       2.027108061926e-13       1.804638988098e-17       3.025436163236e-10       2.985944270387e-11      -5.994980508605e-14 
   22       1.261977694147e-10       1.119438464832e-15       2.074923252076e-13       1.978861547242e-17       2.785454966080e-10       2.766492375934e-11      -4.823917014977e-14 
   23       1.280644134261e-10       1.202540762383e-15       2.115398216273e-13       2.161193873076e-17       2.572508690175e-10       2.567716537938e-11      -3.407765147439e-14 
   24       1.299687251995e-10       1.330505071187e-15       2.153913415535e-13       2.351626384099e-17       2.381661994202e-10       2.386901822324e-11      -2.053823602810e-14 
   25       1.319250396899e-10       1.504251749842e-15       2.195209163085e-13       2.550150564148e-17       2.210662384236e-10       2.224560104818e-11      -9.462068296296e-15 
   26       1.339412713598e-10       1.717339843366e-15       2.243482820105e-13       2.756757813627e-17       2.056407648139e-10       2.080234838837e-11      -2.206325055192e-15 
   27       1.359997415450e-10       1.963033574764e-15       2.299256513295e-13       2.971442319884e-17       1.917040822834e-10       1.950740611217e-11       9.712744266554e-16 
   28       1.380676097494e-10       2.234374632629e-15       2.361134551421e-13       3.194200327049e-17       1.790152268674e-10       1.831358167237e-11       3.809179310532e-16 
   29       1.401548771740e-10       2.530918817175e-15       2.425975262961e-13       3.425033504213e-17       1.675090009089e-10       1.721749319551e-11      -3.189693087351e-15 
   30       1.422751758870e-10       2.854183737519e-15       2.489087266169e-13       3.663947033724e-17       1.570614595187e-10       1.622082758236e-11      -8.512187750874e-15 
   31       1.444317502533e-10       3.205074465951e-15       2.545007934965e-13       3.910949620815e-17       1.474590115020e-10       1.531576753384e-11      -1.414625526645e-14 
   32       1.466275557458e-10       3.581476812260e-15       2.590100335520e-13       4.166055873927e-17       1.386518092647e-10       1.449184167725e-11      -1.923163570838e-14 
   33       1.488562170959e-10       3.979661019412e-15       2.620825532350e-13       4.429285589539e-17       1.305773384718e-10       1.372968989393e-11      -2.296585116203e-14 
   34       1.511050429222e-10       4.396370565164e-15       2.633764920200e-13       4.700663181673e-17       1.231223216241e-10       1.300626357329e-11      -2.460565356668e-14 
   35       1.533799038448e-10       4.834180867884e-15       2.628176007219e-13       4.980216187455e-17       1.162484264338e-10       1.232286052697e-11      -2.421833494479e-14 
   36       1.556873859172e-10       5.298080835614e-15       2.604351088965e-13       5.267976974951e-17       1.099003296799e-10       1.168606679407e-11      -2.220300590017e-14 
   37       1.580288783928e-10       5.793242268833e-15       2.562989867879e-13       5.563981366262e-17       1.039952063721e-10       1.109955686681e-11      -1.906540067787e-14 
   38       1.604055147497e-10       6.321944603514e-15       2.505252865840e-13       5.868261119517e-17       9.851768876194e-11       1.056227164218e-11      -1.528608057450e-14 
   39       1.628136465682e-10       6.885679597330e-15       2.432777977331e-13       6.180849467469e-17       9.345029941906e-11       1.006910527371e-11      -1.142377108759e-14 
   40       1.652426585148e-10       7.485975081156e-15       2.347706137464e-13       6.501783427346e-17       8.874456949892e-11       9.610971603941e-12      -8.160553451895e-15 
   41       1.676800621489e-10       8.124108708359e-15       2.252088529885e-13       6.831100284484e-17       8.433790067648e-11       9.177663701015e-12      -6.132369449743e-15 
   42       1.701303905805e-10       8.800136793652e-15       2.145801518382e-13       7.168825111047e-17       8.021724932575e-11       8.768342923010e-12      -5.335718281367e-15 
   43       1.726013211355e-10       9.513549564644e-15       2.028005190869e-13       7.514979573123e-17       7.637162492844e-11       8.383910634360e-12      -5.540742843651e-15 
   44       1.750981670500e-10       1.026351107411e-14       1.897696966143e-13       7.869585301375e-17       7.277298214781e-11       8.024006574652e-12      -6.447312943239e-15 
   45       1.776240056218e-10       1.104916971242e-14       1.753727028663e-13       8.232660400958e-17       6.938622317773e-11       7.687359031808e-12      -7.724986237193e-15 
   46       1.801807622781e-10       1.187074649418e-14       1.594878338047e-13       8.604207804209e-17       6.620596917678e-11       7.373218916263e-12      -9.157802333981e-15 
   47       1.827679785656e-10       1.272873888533e-14       1.419790181285e-13       8.984223387362e-17       6.322847321752e-11       7.080167664858e-12      -1.053507792888e-14 
   48       1.853821870962e-10       1.362361847533e-14       1.226922726460e-13       9.372698907856e-17       6.044053017742e-11       6.805613364076e-12      -1.160876540622e-14 
