# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494858916085e-10       7.297418168118e-15       4.818730158732e-13       2.246218072421e-19       8.804709858164e-09       4.847062851592e-10      -2.510604614692e-12 
    3       1.409077149120e-10       1.235878910408e-14       6.063192877247e-13       4.494717192217e-19       5.406792975293e-09       3.454006270846e-10      -2.208144934981e-12 
    4       1.324437255308e-10       1.443255340135e-14       6.271467428538e-13       7.496184443202e-19       3.755996647671e-09       2.628701412725e-10      -1.761465767186e-12 
    5       1.257360915995e-10       1.335014232072e-14       5.872351951179e-13       1.125344199807e-18       2.802344295473e-09       2.085607671587e-10      -1.307505868595e-12 
    6       1.207943885960e-10       1.030443037948e-14       5.166820059773e-13       1.576983618767e-18       2.188363593008e-09       1.702916062116e-10      -8.935500003548e-13 
    7       1.173198683154e-10       6.832327051476e-15       4.358732681214e-13       2.104912724996e-18       1.765187628357e-09       1.420400016158e-10      -5.436783696020e-13 
    8       1.149965630218e-10       4.039661249857e-15       3.570916829849e-13       2.709536713440e-18       1.458698708199e-09       1.204431101500e-10      -2.686192726834e-13 
    9       1.135792350356e-10       2.337340626354e-15       2.875879828859e-13       3.391277018039e-18       1.228084754827e-09       1.034916450795e-10      -6.998602206085e-14 
   10       1.128518659234e-10       1.574793097984e-15       2.314095148222e-13       4.150558175475e-18       1.049353041123e-09       8.993558175853e-11       5.753410702821e-14 
   11       1.126770334602e-10       1.350859742736e-15       1.902560489521e-13       4.987794999263e-18       8.851042971885e-10       7.922890368714e-11       1.234979701837e-13 
   12       1.129410368885e-10       1.295088099847e-15       1.637983778045e-13       5.903380563769e-18       7.732827290629e-10       7.001799116491e-11       1.424654384219e-13 
   13       1.135294510250e-10       1.208914756095e-15       1.502787073183e-13       6.897675462558e-18       6.815003200790e-10       6.250209338476e-11       1.281952838428e-13 
   14       1.143427687614e-10       1.063684807521e-15       1.471461030547e-13       7.970998751540e-18       6.051437015519e-10       5.598718336591e-11       9.337911293332e-14 
   15       1.153869474431e-10       9.192536374234e-16       1.513732813120e-13       9.123620916737e-18       5.408785936114e-10       5.054722572440e-11       5.025841379192e-14 
   16       1.166184585472e-10       8.375350356471e-16       1.599490190807e-13       1.035575912218e-17       4.862440570906e-10       4.593340356799e-11       7.927258507899e-15 
   17       1.179624987666e-10       8.365246292234e-16       1.703949288630e-13       1.166757489875e-17       4.393812004281e-10       4.194800727633e-11      -2.727306837619e-14 
   18       1.194164617797e-10       8.892411517157e-16       1.808250422595e-13       1.305917313959e-17       3.987102376361e-10       3.841293465144e-11      -5.179211837532e-14 
   19       1.209884845148e-10       9.629733955139e-16       1.902650267114e-13       1.453061071687e-17       3.635844416410e-10       3.529634489759e-11      -6.473163502285e-14 
   20       1.226269174561e-10       1.023943616113e-15       1.979859295036e-13       1.608188838821e-17       3.326496588268e-10       3.253963829675e-11      -6.689060041204e-14 
   21       1.243427961678e-10       1.074706675140e-15       2.040660119220e-13       1.771297531973e-17       3.054195769975e-10       3.009809576626e-11      -6.036914079413e-14 
   22       1.261334103598e-10       1.132982347509e-15       2.089555026892e-13       1.942379942559e-17       2.812422300638e-10       2.789217192908e-11      -4.847617888911e-14 
   23       1.279886587691e-10       1.218149729306e-15       2.131240990224e-13       2.121427656804e-17       2.597849587003e-10       2.589372037473e-11      -3.415492057455e-14 
   24       1.298780179381e-10       1.348944774968e-15       2.171135752399e-13       2.308430085024e-17       2.405515373297e-10       2.407214080131e-11      -2.051816349294e-14 
   25       1.318179628718e-10       1.525929150629e-15       2.213814083278e-13       2.503377872011e-17       2.233156486945e-10       2.243549778698e-11      -9.432257608700e-15 
   26       1.338198336758e-10       1.742227896427e-15       2.263236933611e-13       2.706261708552e-17       2.077652447562e-10       2.098350273086e-11      -2.261427876049e-15 
   27       1.358646449449e-10       1.991360651926e-15       2.319818321968e-13       2.917075323634e-17       1.937136142294e-10       1.968233287950e-11       7.957072327746e-16 
   28       1.379169163272e-10       2.266803518998e-15       2.382139747646e-13       3.135814726413e-17       1.809182981560e-10       1.848098566000e-11       1.248817612534e-16 
   29       1.399865105471e-10       2.568094843082e-15       2.447259831046e-13       3.362481669135e-17       1.693138624078e-10       1.737563334103e-11      -3.485692338694e-15 
   30       1.420878253942e-10       2.896556601133e-15       2.510814996907e-13       3.597081703311e-17       1.587756209046e-10       1.636863175246e-11      -8.835442554068e-15 
   31       1.442248878327e-10       3.252878158101e-15       2.567618571778e-13       3.839624175165e-17       1.490885176113e-10       1.545297383088e-11      -1.451001305015e-14 
   32       1.464006429909e-10       3.634871822935e-15       2.613758723106e-13       4.090124572482e-17       1.402024810446e-10       1.461898695741e-11      -1.963462555613e-14 
   33       1.486084166065e-10       4.038773130183e-15       2.645172474278e-13       4.348603874642e-17       1.320546345459e-10       1.384820984061e-11      -2.337553270538e-14 
   34       1.508353097837e-10       4.461308799308e-15       2.657971711162e-13       4.615087945928e-17       1.245309098416e-10       1.311834267115e-11      -2.496264140161e-14 
   35       1.530876944435e-10       4.905128616739e-15       2.651638941707e-13       4.889605795210e-17       1.175927725761e-10       1.243024785930e-11      -2.448151687780e-14 
   36       1.553729761472e-10       5.375342039206e-15       2.626976986962e-13       5.172191478019e-17       1.111845357964e-10       1.178954087161e-11      -2.236879426165e-14 
   37       1.576932304305e-10       5.877247546066e-15       2.585178839512e-13       5.462882637032e-17       1.052227680005e-10       1.119891538701e-11      -1.916726770242e-14 
   38       1.600491156365e-10       6.413178987188e-15       2.527390437752e-13       5.761712415318e-17       9.969204700150e-11       1.065726039252e-11      -1.536102303836e-14 
   39       1.624360253166e-10       6.984664106376e-15       2.455057104919e-13       6.068715391270e-17       9.457480668562e-11       1.015970825513e-11      -1.150109138999e-14 
   40       1.648421596896e-10       7.593269430666e-15       2.370076197707e-13       6.383930046149e-17       8.982221050815e-11       9.697452574866e-12      -8.259260586491e-15 
   41       1.672540020940e-10       8.240311126024e-15       2.274264641975e-13       6.707395029840e-17       8.537116132012e-11       9.260532240422e-12      -6.260349611672e-15 
   42       1.696765463915e-10       8.925873747115e-15       2.167486657081e-13       7.039135930756e-17       8.120854719168e-11       8.848059182519e-12      -5.495347255712e-15 
   43       1.721184962402e-10       9.649472486430e-15       2.048963043975e-13       7.379174594930e-17       7.732331895761e-11       8.460770057658e-12      -5.729845532021e-15 
   44       1.745864095512e-10       1.041029572070e-14       1.917767992925e-13       7.727532686688e-17       7.368721233239e-11       8.098091894407e-12      -6.658303283008e-15 
   45       1.770845008511e-10       1.120749837338e-14       1.772828884843e-13       8.084228058547e-17       7.026484183289e-11       7.758550175931e-12      -7.945379391608e-15 
   46       1.796146018648e-10       1.204123287293e-14       1.612951518097e-13       8.449262660493e-17       6.705081045461e-11       7.441404660823e-12      -9.375446619418e-15 
   47       1.821757387503e-10       1.291189299944e-14       1.436783732232e-13       8.822630948377e-17       6.404136321356e-11       7.145310532007e-12      -1.073999594467e-14 
   48       1.847638097947e-10       1.381982606513e-14       1.242795175520e-13       9.204322920273e-17       6.122319425099e-11       6.867759094000e-12      -1.179372982965e-14 
   49       1.873713245033e-10       1.476533129910e-14       1.029266938185e-13       9.594323869919e-17       5.857273667104e-11       6.604994860835e-12      -1.225263205613e-14 
   50       1.899905146531e-10       1.574864884488e-14       7.947597033732e-14       9.992613762353e-17       5.606325779089e-11       6.353104162746e-12      -1.188409389745e-14 
   51       1.926242683082e-10       1.676992697989e-14       5.396920593199e-14       1.039916573302e-16       5.369006294808e-11       6.111821676401e-12      -1.081061099175e-14 
   52       1.952777127185e-10       1.782924320591e-14       2.651726825671e-14       1.081394675508e-16       5.145090542259e-11       5.881613815664e-12      -9.285185144198e-15 
   53       1.979550019457e-10       1.892661085024e-14      -2.742887259193e-15       1.123691772354e-16       4.933844424275e-11       5.662570396037e-12      -7.608817792373e-15 
   54       2.006592146329e-10       2.006197700864e-14      -3.364700224094e-14       1.166803319093e-16       4.733990133645e-11       5.454376852877e-12      -6.132911904619e-15 
   55       2.033924650648e-10       2.123526162131e-14      -6.604351990920e-14       1.210724640690e-16       4.544095851188e-11       5.256504342979e-12      -5.176875911542e-15 
   56       2.061565028575e-10       2.244649078070e-14      -9.992802023203e-14       1.255452650861e-16       4.363936750252e-11       5.068898997139e-12      -4.751463204449e-15 
