# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495432555159e-10       7.310458549092e-15       4.819471819727e-13       0.000000000000e+00       8.695551090293e-09       4.855422505159e-10      -2.515317907214e-12 
    3       1.409426265263e-10       1.238899852265e-14       6.072001142791e-13       0.000000000000e+00       5.417912466474e-09       3.465371041793e-10      -2.211468928317e-12 
    4       1.324703519438e-10       1.446820445963e-14       6.281592138949e-13       0.000000000000e+00       3.776090199021e-09       2.636969613441e-10      -1.764187299913e-12 
    5       1.257575804543e-10       1.338366086034e-14       5.883041326757e-13       0.000000000000e+00       2.820192088946e-09       2.091974538991e-10      -1.309701695090e-12 
    6       1.208108030544e-10       1.032982931552e-14       5.177067552756e-13       0.000000000000e+00       2.201975966706e-09       1.707969726246e-10      -8.951402308895e-13 
    7       1.173339440482e-10       6.848164684260e-15       4.367864500324e-13       0.000000000000e+00       1.774884062521e-09       1.424544461105e-10      -5.447607883715e-13 
    8       1.150076671630e-10       4.047369504421e-15       3.578498984218e-13       0.000000000000e+00       1.466309174219e-09       1.208158389766e-10      -2.693291770318e-13 
    9       1.135866864809e-10       2.339278750341e-15       2.881933305813e-13       0.000000000000e+00       1.235198109990e-09       1.038458555160e-10      -7.046212846048e-14 
   10       1.128563706955e-10       1.572945175495e-15       2.318795347718e-13       0.000000000000e+00       1.056521128913e-09       9.027379584904e-11       5.717328658773e-14 
   11       1.126760824430e-10       1.346515693720e-15       1.905984006883e-13       0.000000000000e+00       8.886623860923e-10       7.948658384655e-11       1.231681806738e-13 
   12       1.129378506370e-10       1.289050832662e-15       1.640757608812e-13       0.000000000000e+00       7.765029166082e-10       7.026716974825e-11       1.421214000211e-13 
   13       1.135212404336e-10       1.201772046824e-15       1.505519182258e-13       0.000000000000e+00       6.844334649750e-10       6.273201797598e-11       1.277943587872e-13 
   14       1.143276633831e-10       1.056004171437e-15       1.474122758031e-13       0.000000000000e+00       6.078295928103e-10       5.619597097848e-11       9.291953270607e-14 
   15       1.153643908124e-10       9.115173280736e-16       1.516650698286e-13       0.000000000000e+00       5.433498238742e-10       5.073338280872e-11       4.975563977056e-14 
   16       1.165908530224e-10       8.298303414710e-16       1.603441408639e-13       0.000000000000e+00       4.885271732444e-10       4.610232473945e-11       7.428011315369e-15 
   17       1.179260227053e-10       8.286410002314e-16       1.708450864072e-13       0.000000000000e+00       4.414983331203e-10       4.210436169491e-11      -2.770738239436e-14 
   18       1.193724823805e-10       8.808883064261e-16       1.813263977362e-13       0.000000000000e+00       4.006783861462e-10       3.855487139029e-11      -5.212074835614e-14 
   19       1.209381705765e-10       9.538225277365e-16       1.908364013899e-13       0.000000000000e+00       3.654222023983e-10       3.542436878971e-11      -6.494904669038e-14 
   20       1.225681716574e-10       1.013681619436e-15       1.986391279635e-13       0.000000000000e+00       3.343692550783e-10       3.265930865621e-11      -6.703049225037e-14 
   21       1.242743543804e-10       1.063259932313e-15       2.048019751168e-13       0.000000000000e+00       3.070321190309e-10       3.021433547796e-11      -6.047071157179e-14 
   22       1.260559792300e-10       1.120578255503e-15       2.097608787592e-13       0.000000000000e+00       2.827577371432e-10       2.800666980109e-11      -4.856760207920e-14 
   23       1.279019723690e-10       1.204970488477e-15       2.139715106733e-13       0.000000000000e+00       2.612126053020e-10       2.600497056149e-11      -3.424108487806e-14 
   24       1.297800991440e-10       1.335041785123e-15       2.179698129842e-13       0.000000000000e+00       2.418987042480e-10       2.417596661502e-11      -2.057996133511e-14 
   25       1.317076134806e-10       1.511490992694e-15       2.222523797049e-13       0.000000000000e+00       2.245891486169e-10       2.253013573419e-11      -9.465675570100e-15 
   26       1.336973126492e-10       1.727615902202e-15       2.272621470349e-13       0.000000000000e+00       2.089710099484e-10       2.107101926690e-11      -2.288757971076e-15 
   27       1.357300408167e-10       1.976752334339e-15       2.330198658457e-13       0.000000000000e+00       1.948570428172e-10       1.976489283445e-11       7.501554141863e-16 
   28       1.377696677986e-10       2.252100755442e-15       2.393419633746e-13       0.000000000000e+00       1.820039611729e-10       1.855963540192e-11       4.438176820938e-17 
   29       1.398259938770e-10       2.553213686254e-15       2.459210712769e-13       0.000000000000e+00       1.703462031849e-10       1.745094405451e-11      -3.606168800449e-15 
   30       1.419135513475e-10       2.881538671058e-15       2.523157943570e-13       0.000000000000e+00       1.597586806645e-10       1.644078216589e-11      -8.985129803287e-15 
   31       1.440364857461e-10       3.237889125529e-15       2.580068322220e-13       0.000000000000e+00       1.500255392782e-10       1.552178792584e-11      -1.466324484862e-14 
   32       1.461976636131e-10       3.620059920070e-15       2.626230897918e-13       0.000000000000e+00       1.410965946002e-10       1.468464771043e-11      -1.976960898532e-14 
   33       1.483902446434e-10       4.024214296180e-15       2.657896199838e-13       0.000000000000e+00       1.329087831595e-10       1.391155691329e-11      -2.348218853430e-14 
   34       1.506012054492e-10       4.447024932206e-15       2.671446547258e-13       0.000000000000e+00       1.253476136672e-10       1.318073003877e-11      -2.504374019125e-14 
   35       1.528371321272e-10       4.891239310989e-15       2.666178444386e-13       0.000000000000e+00       1.183744429215e-10       1.249245000176e-11      -2.454563226442e-14 
   36       1.551057949532e-10       5.362131841195e-15       2.642515339757e-13       0.000000000000e+00       1.119333822364e-10       1.185125767906e-11      -2.242873380137e-14 
   37       1.574095903781e-10       5.865142956855e-15       2.601280423576e-13       0.000000000000e+00       1.059406648069e-10       1.125882113520e-11      -1.923881917374e-14 
   38       1.597490379794e-10       6.402528446342e-15       2.543603852603e-13       0.000000000000e+00       1.003808427491e-10       1.071412334292e-11      -1.545527122178e-14 
   39       1.621192085663e-10       6.975648415777e-15       2.471037337549e-13       0.000000000000e+00       9.523630717370e-11       1.021279144890e-11      -1.162092190042e-14 
   40       1.645079003217e-10       7.585861641847e-15       2.385617452351e-13       0.000000000000e+00       9.045802537453e-11       9.746638324524e-12      -8.397425412933e-15 
   41       1.669012497991e-10       8.234298732461e-15       2.289307173546e-13       0.000000000000e+00       8.598263132502e-11       9.306300300349e-12      -6.400565045506e-15 
   42       1.693044280279e-10       8.921098302851e-15       2.182030031226e-13       0.000000000000e+00       8.179697826914e-11       8.890949340660e-12      -5.623973561868e-15 
   43       1.717265149836e-10       9.645918294270e-15       2.063046294613e-13       0.000000000000e+00       7.788998613406e-11       8.501206000977e-12      -5.840221397662e-15 
   44       1.741745218782e-10       1.040812165776e-14       1.931475697588e-13       0.000000000000e+00       7.423327062130e-11       8.136342425027e-12      -6.752313077848e-15 
   45       1.766530693865e-10       1.120702607383e-14       1.786284686487e-13       0.000000000000e+00       7.079128813856e-11       7.794731630645e-12      -8.032788441889e-15 
   46       1.791639211162e-10       1.204278391934e-14       1.626268803175e-13       0.000000000000e+00       6.755863390767e-11       7.475627718144e-12      -9.465525310051e-15 
   47       1.817058678053e-10       1.291573521630e-14       1.450046854800e-13       0.000000000000e+00       6.453155097862e-11       7.177721403117e-12      -1.083870810022e-14 
   48       1.842745196070e-10       1.382616075393e-14       1.256051994704e-13       0.000000000000e+00       6.169668006248e-11       6.898540614027e-12      -1.190300638352e-14 
   49       1.868620422063e-10       1.477427976127e-14       1.042520915711e-13       0.000000000000e+00       5.903034542038e-11       6.634367518301e-12      -1.236960395812e-14 
   50       1.894603702911e-10       1.576025901529e-14       8.079638655327e-14       0.000000000000e+00       5.650568726821e-11       6.381318435671e-12      -1.200165332464e-14 
   51       1.920724884844e-10       1.678424847997e-14       5.527501694808e-14       0.000000000000e+00       5.411799809817e-11       6.139121649926e-12      -1.092247709325e-14 
   52       1.947037563546e-10       1.784635131788e-14       2.779343999074e-14       0.000000000000e+00       5.186502923059e-11       5.908221615963e-12      -9.387617497859e-15 
   53       1.973586008247e-10       1.894661155307e-14      -1.517529127828e-15       0.000000000000e+00       4.973940869375e-11       5.688678117513e-12      -7.701090765409e-15 
   54       2.000404159281e-10       2.008501228178e-14      -3.250053523990e-14       0.000000000000e+00       4.772829636059e-11       5.480138017331e-12      -6.217812679202e-15 
