# Matter power spectrum P(k) at redshift z=0
# for k=1.04219e-05 to 1.02904 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.042188182396e-05       4.834039158558e+01 
       2.331486892423e-05       1.052253562346e+02 
       3.625318016395e-05       1.611819213193e+02 
       4.927169211882e-05       2.167861401821e+02 
       6.240585840097e-05       2.723698223358e+02 
       7.569202637752e-05       3.281842221859e+02 
       8.916776402262e-05       3.844458674554e+02 
       1.028722012580e-04       4.413554401573e+02 
       1.168463901706e-04       4.991074590920e+02 
       1.311336885289e-04       5.578962184662e+02 
       1.457801710268e-04       6.179198224630e+02 
       1.608350726214e-04       6.793836658486e+02 
       1.763512681515e-04       7.425029293753e+02 
       1.923857920503e-04       8.075054275895e+02 
       2.090004012949e-04       8.746339236781e+02 
       2.262621836521e-04       9.441486414574e+02 
       2.442442115866e-04       1.016329762501e+03 
       2.630262397008e-04       1.091479847698e+03 
       2.826954399771e-04       1.169926482600e+03 
       3.033471640730e-04       1.252024662812e+03 
       3.250857150869e-04       1.338158993498e+03 
       3.480251021674e-04       1.428746268750e+03 
       3.722897396923e-04       1.524236619403e+03 
       3.980150382483e-04       1.625115142757e+03 
       4.253478173250e-04       1.731901547566e+03 
       4.544464500502e-04       1.845149801827e+03 
       4.854806298124e-04       1.965444546955e+03 
       5.186306298643e-04       2.093397104068e+03 
       5.540859141441e-04       2.229637253186e+03 
       5.920429565624e-04       2.374802573096e+03 
       6.327021443569e-04       2.529524929336e+03 
       6.762636868361e-04       2.694412023572e+03 
       7.229225303199e-04       2.870026469497e+03 
       7.728623949764e-04       3.056861973807e+03 
       8.262491925045e-04       3.255317882710e+03 
       8.832242365563e-04       3.465674060657e+03 
       9.438977899887e-04       3.688068338665e+03 
       1.008343567263e-03       3.922478850080e+03 
       1.076594792940e-03       4.168713568776e+03 
       1.148642291663e-03       4.426408756268e+03 
       1.224434862277e-03       4.695036285594e+03 
       1.303881909257e-03       4.973921578915e+03 
       1.386858027757e-03       5.262256140670e+03 
       1.473209023747e-03       5.559148622311e+03 
       1.562758737949e-03       5.863654412251e+03 
       1.655316041268e-03       6.174785850869e+03 
       1.750681461107e-03       6.491550041819e+03 
       1.848653045744e-03       6.812971978226e+03 
       1.949031238010e-03       7.138113049296e+03 
       2.051622678136e-03       7.466084925979e+03 
       2.156242970347e-03       7.796059021631e+03 
       2.262718522903e-03       8.127272212207e+03 
       2.370887610184e-03       8.459028611784e+03 
       2.480600816297e-03       8.790698514612e+03 
       2.591721011723e-03       9.121715942421e+03 
       2.704122996001e-03       9.451575133575e+03 
       2.817692916515e-03       9.779826316872e+03 
       2.932327550237e-03       1.010607333927e+04 
       3.047933514181e-03       1.042996801780e+04 
       3.164426452368e-03       1.075120615482e+04 
       3.281730232599e-03       1.106952266585e+04 
       3.399776175079e-03       1.138468723757e+04 
       3.518502326453e-03       1.169649987711e+04 
       3.637852786673e-03       1.200478928250e+04 
       3.757777091738e-03       1.230940806301e+04 
       3.878229652404e-03       1.261023168612e+04 
       3.999169247017e-03       1.290715418287e+04 
       4.120558565443e-03       1.320008839293e+04 
       4.242363800412e-03       1.348896116104e+04 
       4.364554282297e-03       1.377371414369e+04 
       4.487102153330e-03       1.405430015587e+04 
       4.609982077351e-03       1.433068486840e+04 
       4.733170981411e-03       1.460283982226e+04 
       4.856647825816e-03       1.487074777969e+04 
       4.980393399486e-03       1.513439777638e+04 
       5.104390137801e-03       1.539378454371e+04 
       5.228621960387e-03       1.564890997468e+04 
       5.353074126571e-03       1.589977642289e+04 
       5.477733106483e-03       1.614639674266e+04 
       5.602586466001e-03       1.638878481377e+04 
       5.727622763963e-03       1.662695833973e+04 
       5.852831460236e-03       1.686093744181e+04 
       5.978202833399e-03       1.709074575250e+04 
       6.103727906966e-03       1.731640906603e+04 
       6.229398383161e-03       1.753795453935e+04 
       6.355206583423e-03       1.775541338155e+04 
       6.481145394875e-03       1.796881149731e+04 
       6.607208222115e-03       1.817818871662e+04 
       6.733388943723e-03       1.838357299350e+04 
       6.859681873006e-03       1.858500049861e+04 
       6.986081722492e-03       1.878250746915e+04 
       7.112583571799e-03       1.897612804592e+04 
       7.239182838517e-03       1.916589722498e+04 
       7.365875251776e-03       1.935185488970e+04 
       7.492656828247e-03       1.953403637335e+04 
       7.619523850306e-03       1.971247910563e+04 
       7.746472846156e-03       1.988721795463e+04 
       7.873500571702e-03       2.005829609145e+04 
       8.000603994019e-03       2.022575158833e+04 
       8.127780276240e-03       2.038961505371e+04 
       8.255026763742e-03       2.054993017491e+04 
       8.382340971497e-03       2.070672893581e+04 
       8.509720572481e-03       2.086006067373e+04 
       8.637163387045e-03       2.100995365958e+04 
       8.764667373147e-03       2.115644276214e+04 
       8.892230617387e-03       2.129957580273e+04 
       9.019851326753e-03       2.143938763953e+04 
       9.147527821022e-03       2.157590348511e+04 
       9.275258525762e-03       2.170917101695e+04 
       9.403041965873e-03       2.183922443905e+04 
       9.530876759633e-03       2.196609467664e+04 
       9.658761613193e-03       2.208982749826e+04 
       9.786695315492e-03       2.221045174592e+04 
       9.914676733550e-03       2.232800233982e+04 
       1.004270480812e-02       2.244251580063e+04 
       1.017077854963e-02       2.255402711422e+04 
       1.029889703451e-02       2.266256698760e+04 
       1.042705940165e-02       2.276817845730e+04 
       1.055526484921e-02       2.287088479004e+04 
       1.068351263170e-02       2.297072955076e+04 
       1.081180205709e-02       2.306772938208e+04 
       1.094013248436e-02       2.316194066585e+04 
       1.106850332101e-02       2.325337891584e+04 
       1.119691402091e-02       2.334208543781e+04 
       1.132536408220e-02       2.342808123957e+04 
       1.145385304535e-02       2.351140872883e+04 
       1.158238049140e-02       2.359209313094e+04 
       1.171094604032e-02       2.367017226256e+04 
       1.183954934941e-02       2.374567031788e+04 
       1.196819011187e-02       2.381862206097e+04 
       1.209686805553e-02       2.388904964410e+04 
       1.222558294149e-02       2.395699742804e+04 
       1.235433456309e-02       2.402246966927e+04 
       1.248312274473e-02       2.408553148999e+04 
       1.261194734093e-02       2.414618287806e+04 
       1.274080823540e-02       2.420447015830e+04 
       1.286970534016e-02       2.426041267738e+04 
       1.299863859475e-02       2.431404775251e+04 
       1.312760796552e-02       2.436539671749e+04 
       1.325661344491e-02       2.441448402271e+04 
       1.338565505085e-02       2.446134053915e+04 
