# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494865649807e-10       7.297410863635e-15       4.818737118959e-13       2.187217616761e-19       8.804064988012e-09       4.847095797789e-10      -2.510602401430e-12 
    3       1.409085758010e-10       1.235877060193e-14       6.063196908950e-13       4.376710531839e-19       5.405614571046e-09       3.454006784017e-10      -2.208143675571e-12 
    4       1.324447782948e-10       1.443252607844e-14       6.271471363950e-13       7.299494167142e-19       3.754597649071e-09       2.628681988603e-10      -1.761464757640e-12 
    5       1.257373490492e-10       1.335010685495e-14       5.872356525173e-13       1.095838376192e-18       2.800908579234e-09       2.085576633287e-10      -1.307505046601e-12 
    6       1.207958731084e-10       1.030438531117e-14       5.166825704135e-13       1.535671758414e-18       2.187001612334e-09       1.702876587020e-10      -8.935493221051e-13 
    7       1.173216178839e-10       6.832270362089e-15       4.358739254506e-13       2.049824704435e-18       1.763960645644e-09       1.420361056362e-10      -5.436777656861e-13 
    8       1.149986394888e-10       4.039590764743e-15       3.570924374986e-13       2.638701490207e-18       1.457635527027e-09       1.204403377453e-10      -2.686187922906e-13 
    9       1.135816871663e-10       2.337253967009e-15       2.875889178526e-13       3.302722636673e-18       1.227190259631e-09       1.034900254757e-10      -6.998578607586e-14 
   10       1.128547119448e-10       1.574688083492e-15       2.314107032212e-13       4.042311815986e-18       1.048617258196e-09       8.993412748404e-11       5.753408968052e-14 
   11       1.126803072810e-10       1.350735572417e-15       1.902575310197e-13       4.857883066532e-18       8.849412930026e-10       7.923215104946e-11       1.234978708461e-13 
   12       1.129447685571e-10       1.294945836683e-15       1.638002786663e-13       5.749828814565e-18       7.731318028605e-10       7.002079650306e-11       1.424655289737e-13 
   13       1.135336940408e-10       1.208755156745e-15       1.502811753752e-13       6.718509165290e-18       6.813596634741e-10       6.250445749489e-11       1.281956686593e-13 
   14       1.143475837600e-10       1.063505717575e-15       1.471492980302e-13       7.764242872418e-18       6.050118839725e-10       5.598910898047e-11       9.337962811138e-14 
   15       1.153924001802e-10       9.190508699382e-16       1.513775089248e-13       8.887300324909e-18       5.407544646317e-10       5.054874901653e-11       5.025874473799e-14 
   16       1.166246251177e-10       8.373069111696e-16       1.599546443334e-13       1.008789880555e-17       4.861266785812e-10       4.593458024418e-11       7.927129257122e-15 
   17       1.179694538447e-10       8.362744718267e-16       1.704026861722e-13       1.136620018172e-17       4.392697976708e-10       4.194882285753e-11      -2.727374670376e-14 
   18       1.194242669071e-10       8.889739779197e-16       1.808356154216e-13       1.272230989817e-17       3.986043386368e-10       3.841335068991e-11      -5.179323316757e-14 
   19       1.209971863117e-10       9.626919851888e-16       1.902785585405e-13       1.415628555626e-17       3.634831518846e-10       3.529640937781e-11      -6.473299757245e-14 
   20       1.226365431958e-10       1.023647101339e-15       1.980018727200e-13       1.566812884451e-17       3.325526416740e-10       3.253951153625e-11      -6.689199827045e-14 
   21       1.243533499147e-10       1.074392629835e-15       2.040836733296e-13       1.725780996726e-17       3.053265289491e-10       3.009787102408e-11      -6.037039463130e-14 
   22       1.261448763452e-10       1.132647855549e-15       2.089742732847e-13       1.892525801393e-17       2.811527810641e-10       2.789181331378e-11      -4.847717728661e-14 
   23       1.280010381762e-10       1.217793599045e-15       2.131435211291e-13       2.067039005024e-17       2.596987656401e-10       2.589318193174e-11      -3.415561505729e-14 
   24       1.298913415892e-10       1.348568238696e-15       2.171334050793e-13       2.249310144078e-17       2.404683565396e-10       2.407140356736e-11      -2.051857586280e-14 
   25       1.318322671797e-10       1.525533676777e-15       2.214015838830e-13       2.439329982933e-17       2.232352534104e-10       2.243454254927e-11      -9.432466258263e-15 
   26       1.338351544281e-10       1.741814749898e-15       2.263443225320e-13       2.637089329074e-17       2.076874299704e-10       2.098231268113e-11      -2.261557609816e-15 
   27       1.358810243788e-10       1.990932480216e-15       2.320030479374e-13       2.842582014629e-17       1.936381926424e-10       1.968095055387e-11       7.955388348321e-16 
   28       1.379344035778e-10       2.266364688033e-15       2.382358786587e-13       3.055804140614e-17       1.808451163510e-10       1.847952139692e-11       1.245861831477e-16 
   29       1.400051491923e-10       2.567649759847e-15       2.447486197897e-13       3.276757528430e-17       1.692427679194e-10       1.737417847052e-11      -3.486179391674e-15 
   30       1.421076474427e-10       2.896109004091e-15       2.511048328472e-13       3.505447781585e-17       1.587064737577e-10       1.636722027811e-11      -8.836155817522e-15 
   31       1.442459134563e-10       3.252431006898e-15       2.567857634300e-13       3.741884281157e-17       1.490212081986e-10       1.545158056461e-11      -1.451095152403e-14 
   32       1.464228913609e-10       3.634427912345e-15       2.614001980494e-13       3.986082526736e-17       1.401369013419e-10       1.461758473779e-11      -1.963575916152e-14 
   33       1.486319098059e-10       4.038335237556e-15       2.645418257476e-13       4.238063486634e-17       1.319906824220e-10       1.384678983097e-11      -2.337680011952e-14 
   34       1.508600736953e-10       4.460879837657e-15       2.658218287229e-13       4.497852993265e-17       1.244685000327e-10       1.311691315226e-11      -2.496395266772e-14 
   35       1.531137587875e-10       4.904712467024e-15       2.651884794641e-13       4.765480012129e-17       1.175318220327e-10       1.242880986060e-11      -2.448278541745e-14 
   36       1.554003751898e-10       5.374943960604e-15       2.627220970543e-13       5.040978534633e-17       1.111249680829e-10       1.178807874059e-11      -2.236995019712e-14 
   37       1.577220024011e-10       5.876874078384e-15       2.585420119870e-13       5.324386124073e-17       1.051645196950e-10       1.119739879348e-11      -1.916826269002e-14 
   38       1.600792967269e-10       6.412836668159e-15       2.527627880968e-13       5.615735862313e-17       9.963505363137e-11       1.065566545517e-11      -1.536183096672e-14 
   39       1.624676472674e-10       6.984358977723e-15       2.455289033234e-13       5.915062260187e-17       9.451900386134e-11       1.015802598688e-11      -1.150171250957e-14 
   40       1.648752487354e-10       7.593006844837e-15       2.370300285941e-13       6.222403714846e-17       8.976754143773e-11       9.695692511791e-12      -8.259727199398e-15 
   41       1.672885792300e-10       8.240095844987e-15       2.274477981758e-13       6.537798790242e-17       8.531758044804e-11       9.258720509906e-12      -6.260724588126e-15 
   42       1.697126322868e-10       8.925711062718e-15       2.167686405765e-13       6.861273039279e-17       8.115600900183e-11       8.846217147418e-12      -5.495697376837e-15 
   43       1.721561128983e-10       9.649368630039e-15       2.049146668295e-13       7.192848286037e-17       7.727177796786e-11       8.458906456747e-12      -5.730232403155e-15 
   44       1.746255807347e-10       1.041025800446e-14       1.917933360207e-13       7.532546172335e-17       7.363662763395e-11       8.096200072196e-12      -6.658780901869e-15 
   45       1.771252521840e-10       1.120753513553e-14       1.772974206721e-13       7.880384541647e-17       7.021517908459e-11       7.756609629530e-12      -7.945990392259e-15 
   46       1.796569597910e-10       1.204135274624e-14       1.613074786231e-13       8.236365395162e-17       6.700203441654e-11       7.439397461420e-12      -9.376214467140e-15 
   47       1.822197303366e-10       1.291210466785e-14       1.436882519490e-13       8.600483267586e-17       6.399343757549e-11       7.143227041171e-12      -1.074091968385e-14 
   48       1.848094628579e-10       1.382013820330e-14       1.242866573721e-13       8.972728251712e-17       6.117608436477e-11       6.865599678300e-12      -1.179477965455e-14 
   49       1.874186677420e-10       1.476575250819e-14       1.029307492516e-13       9.353085752781e-17       5.852641250342e-11       6.602771701352e-12      -1.225374464715e-14 
   50       1.900395771931e-10       1.574918767977e-14       7.947654730825e-14       9.741535866776e-17       5.601769494432e-11       6.350840195269e-12      -1.188517817007e-14 
   51       1.926750772855e-10       1.677059228845e-14       5.396591053263e-14       1.013805188623e-16       5.364523675538e-11       6.109539785335e-12      -1.081158895941e-14 
   52       1.953302923010e-10       1.783004423449e-14       2.650972382899e-14       1.054260096422e-16       5.140679046889e-11       5.879333292736e-12      -9.286006793200e-15 
   53       1.980093728785e-10       1.892755726230e-14      -2.755034715482e-15       1.095514419795e-16       4.929501599204e-11       5.660306088440e-12      -7.609466403015e-15 
   54       2.007153937613e-10       2.006307890407e-14      -3.366407838274e-14       1.137563636539e-16       4.729713787736e-11       5.452138266818e-12      -6.133409638872e-15 
   55       2.034504663558e-10       2.123652951191e-14      -6.606582675427e-14       1.180403094681e-16       4.539884111152e-11       5.254295605344e-12      -5.177280319370e-15 
