# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494420703529e-10       7.262290855134e-15       4.803229508885e-13       1.694499089711e-19       8.637702286881e-09       4.830171039161e-10      -2.505491765057e-12 
    3       1.408529830685e-10       1.230032035018e-14       6.046565301337e-13       3.391027074428e-19       5.332857893553e-09       3.438535020902e-10      -2.202198306962e-12 
    4       1.323958925820e-10       1.436171855756e-14       6.252324231084e-13       5.656150459064e-19       3.700601838449e-09       2.612477696059e-10      -1.756296160787e-12 
    5       1.257002524084e-10       1.328409033451e-14       5.853088889584e-13       8.492382310824e-19       2.754308629046e-09       2.069432358905e-10      -1.303490481876e-12 
    6       1.207740842610e-10       1.025335201823e-14       5.148982561757e-13       1.190270491908e-18       2.144470421351e-09       1.687023937199e-10      -8.905709021294e-13 
    7       1.173109765205e-10       6.798665554625e-15       4.343585329056e-13       1.589047301812e-18       1.725229069114e-09       1.404906400997e-10      -5.415807527008e-13 
    8       1.150049760677e-10       4.020460161225e-15       3.558896042079e-13       2.045930641897e-18       1.422961698941e-09       1.189559689749e-10      -2.671945257594e-13 
    9       1.136084226314e-10       2.327807029886e-15       2.866919073767e-13       2.561297623368e-18       1.196261171916e-09       1.020853339683e-10      -6.902230982665e-14 
   10       1.129032207061e-10       1.570787031265e-15       2.308116738256e-13       3.135528911020e-18       1.020863951190e-09       8.860756664653e-11       5.822827050854e-14 
   11       1.127555610042e-10       1.349671920675e-15       1.898893531085e-13       3.768997395230e-18       8.633330503458e-10       7.808952510099e-11       1.240894966747e-13 
   12       1.130418763578e-10       1.295080823791e-15       1.635858701960e-13       4.462057547582e-18       7.533244113205e-10       6.890993430889e-11       1.430550212130e-13 
   13       1.136575640235e-10       1.208874293779e-15       1.501713789566e-13       5.215035865374e-18       6.630909006610e-10       6.143384391686e-11       1.288596129876e-13 
