# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.494872401980e-10       7.297444030893e-15       4.818745239564e-13       2.342222891756e-19       8.805656026286e-09       4.847236586050e-10      -2.510609181017e-12 
    3       1.409092090682e-10       1.235886292113e-14       6.063221511353e-13       4.686733617682e-19       5.407824256665e-09       3.454177018781e-10      -2.208152598852e-12 
    4       1.324453996124e-10       1.443268704214e-14       6.271510497556e-13       7.816226621544e-19       3.757106986086e-09       2.628869774593e-10      -1.761475828099e-12 
    5       1.257379900988e-10       1.335033128377e-14       5.872412250279e-13       1.173353235871e-18       2.803525867252e-09       2.085774428167e-10      -1.307516686108e-12 
    6       1.207965453096e-10       1.030465857939e-14       5.166899349657e-13       1.644200687914e-18       2.189597244311e-09       1.703083723365e-10      -8.935598413737e-13 
    7       1.173222950285e-10       6.832578676631e-15       4.358830731787e-13       2.194542119068e-18       1.766446154307e-09       1.420561794592e-10      -5.436862281221e-13 
    8       1.149992621266e-10       4.039926910991e-15       3.571033784552e-13       2.824783863583e-18       1.459953601014e-09       1.204575015898e-10      -2.686248905247e-13 
    9       1.135822376274e-10       2.337615352089e-15       2.876014724271e-13       3.535348511766e-18       1.229310048275e-09       1.035039685887e-10      -6.998952695562e-14 
   10       1.128551886742e-10       1.575075350847e-15       2.314240967285e-13       4.326661727728e-18       1.050526282508e-09       8.994666052324e-11       5.753239020684e-14 
   11       1.126806579273e-10       1.351152905969e-15       1.902703477766e-13       5.199139378586e-18       8.853772351352e-10       7.923679993340e-11       1.234978007320e-13 
   12       1.129448931779e-10       1.295400117262e-15       1.638110125495e-13       6.153175476419e-18       7.735332416309e-10       7.002551921873e-11       1.424660589708e-13 
   13       1.135335305257e-10       1.209255114537e-15       1.502891403875e-13       7.189131399061e-18       6.817317222113e-10       6.250933838589e-11       1.281961386291e-13 
   14       1.143470950681e-10       1.064061483612e-15       1.471545219845e-13       8.307326801649e-18       6.053586213542e-10       5.599422678472e-11       9.337980876409e-14 
   15       1.153915653688e-10       9.196729904889e-16       1.513800595253e-13       9.508032559982e-18       5.410791506581e-10       5.055406544017e-11       5.025882575517e-14 
   16       1.166234089689e-10       8.380036246444e-16       1.599546885980e-13       1.079146600214e-17       4.864319859782e-10       4.594000218954e-11       7.927311580928e-15 
   17       1.179678225662e-10       8.370495111400e-16       1.704003502488e-13       1.215778858979e-17       4.395579391336e-10       4.195445274653e-11      -2.727342701715e-14 
   18       1.194222120241e-10       8.898287039002e-16       1.808308602673e-13       1.360710491079e-17       3.988767005704e-10       3.841933532193e-11      -5.179287318543e-14 
   19       1.209947045811e-10       9.636295529606e-16       1.902716449583e-13       1.513947132772e-17       3.637422307247e-10       3.530269159503e-11      -6.473266590242e-14 
   20       1.226336306917e-10       1.024673863072e-15       1.979935010795e-13       1.675488785639e-17       3.327994325894e-10       3.254577630870e-11      -6.689168351759e-14 
   21       1.243500248970e-10       1.075516223418e-15       2.040745471673e-13       1.845332277824e-17       3.055619297246e-10       3.010396629860e-11      -6.037008872383e-14 
   22       1.261411795280e-10       1.133876170630e-15       2.089649036108e-13       2.023470294647e-17       2.813778542533e-10       2.789788047157e-11      -4.847690675215e-14 
   23       1.279969820554e-10       1.219132888219e-15       2.131342541833e-13       2.209894309354e-17       2.599144946651e-10       2.589933597832e-11      -3.415543268854e-14 
   24       1.298868955835e-10       1.350022482315e-15       2.171243942349e-13       2.404593609052e-17       2.406754512823e-10       2.407764271818e-11      -2.051854189944e-14 
   25       1.318274051369e-10       1.527106553351e-15       2.213928063990e-13       2.607558717821e-17       2.234343731922e-10       2.244092313704e-11      -9.432559622573e-15 
   26       1.338298658214e-10       1.743510154454e-15       2.263356008196e-13       2.818780204040e-17       2.078791699725e-10       2.098896557435e-11      -2.261657959855e-15 
   27       1.358752837155e-10       1.992753791319e-15       2.319942450696e-13       3.038251683943e-17       1.938230965025e-10       1.968783628821e-11       7.955296405885e-16 
   28       1.379281640989e-10       2.268314611229e-15       2.382269602406e-13       3.265969061066e-17       1.810236328664e-10       1.848637727841e-11       1.247026077776e-16 
   29       1.399983723340e-10       2.569731008544e-15       2.447395772146e-13       3.501934002911e-17       1.694153405110e-10       1.738078193581e-11      -3.485937074232e-15 
   30       1.421003157165e-10       2.898324595254e-15       2.510956626899e-13       3.746151989593e-17       1.588735094855e-10       1.637349821469e-11      -8.835818066735e-15 
   31       1.442380305827e-10       3.254784349278e-15       2.567764753541e-13       3.998632309756e-17       1.491830295980e-10       1.545761309203e-11      -1.451057702842e-14 
   32       1.464144612550e-10       3.636922714279e-15       2.613908406628e-13       4.259390418091e-17       1.402938244888e-10       1.462345863098e-11      -1.963539702074e-14 
   33       1.486229286721e-10       4.040975539948e-15       2.645325025096e-13       4.528447282068e-17       1.321430056282e-10       1.385254564633e-11      -2.337647349002e-14 
   34       1.508505289579e-10       4.463669896983e-15       2.658126879441e-13       4.805828773412e-17       1.246164744801e-10       1.312254583494e-11      -2.496365825266e-14 
   35       1.531036335347e-10       4.907655935068e-15       2.651796274197e-13       5.091563923841e-17       1.176756912784e-10       1.243432448915e-11      -2.448251842030e-14 
   36       1.553896488716e-10       5.378043506098e-15       2.627135597764e-13       5.385686833005e-17       1.112649564605e-10       1.179351034314e-11      -2.236971261679e-14 
   37       1.577106512721e-10       5.880131439794e-15       2.585337415513e-13       5.688235203925e-17       1.053008152970e-10       1.120280814871e-11      -1.916806294723e-14 
   38       1.600672985872e-10       6.416253598594e-15       2.527547566459e-13       5.999242228781e-17       9.976784595469e-11       1.066110111339e-11      -1.536167637583e-14 
   39       1.624549833492e-10       6.987937593175e-15       2.455211385128e-13       6.318742544696e-17       9.464848091865e-11       1.016350857413e-11      -1.150160655095e-14 
   40       1.648619045047e-10       7.596749743905e-15       2.370226266422e-13       6.646774710183e-17       8.989386987468e-11       9.701207453335e-12      -8.259668635964e-15 
   41       1.672745441891e-10       8.244006094082e-15       2.274409177044e-13       6.983377457480e-17       8.544089596443e-11       9.264221709252e-12      -6.260706652751e-15 
   42       1.696978962669e-10       8.929791705702e-15       2.167624292605e-13       7.328576414019e-17       8.127644615001e-11       8.851668985886e-12      -5.495707334536e-15 
   43       1.721406648056e-10       9.653622532151e-15       2.049092347933e-13       7.682393456229e-17       7.738947028927e-11       8.464299131902e-12      -5.730250766325e-15 
   44       1.746094082255e-10       1.041468782374e-14       1.917887468843e-13       8.044850283681e-17       7.375169576448e-11       8.101554869623e-12      -6.658780482890e-15 
   45       1.771083415082e-10       1.121214330683e-14       1.772936968028e-13       8.415964773850e-17       7.032772555426e-11       7.761975501385e-12      -7.945938821120e-15 
   46       1.796392962486e-10       1.204614151172e-14       1.613046553156e-13       8.795738840134e-17       6.711216329628e-11       7.444817716282e-12      -9.376088447911e-15 
   47       1.822012982683e-10       1.291707607189e-14       1.436863964046e-13       9.184166876526e-17       6.410125498884e-11       7.148727499454e-12      -1.074071094348e-14 
