6.131151577955542867e-12 5.676282137619348980e-11 6.131151577955542867e-12 5.676282137619348980e-11
5.461285608880297159e-12 4.836533748342490657e-11 5.461285608880297159e-12 4.836533748342490657e-11
4.969164470997882861e-12 4.242051523267543793e-11 4.969164470997882861e-12 4.242051523267543793e-11
4.587914647972381041e-12 3.796235729272539026e-11 4.587914647972381041e-12 3.796235729272539026e-11
4.281356752563771978e-12 3.447903780992320801e-11 4.281356752563771978e-12 3.447903780992320801e-11
4.027950851267055818e-12 3.167241743730508809e-11 4.027950851267055818e-12 3.167241743730508809e-11
3.813958492384671530e-12 2.935630857637855640e-11 3.813958492384671530e-12 2.935630857637855640e-11
3.630147630248049091e-12 2.740805424638180391e-11 3.630147630248049091e-12 2.740805424638180391e-11
3.470053883586576174e-12 2.574335135109746241e-11 3.470053883586576174e-12 2.574335135109746241e-11
3.328997532948692573e-12 2.430222438022689767e-11 3.328997532948692573e-12 2.430222438022689767e-11
3.203495993516362413e-12 2.304076569494976319e-11 3.203495993516362413e-12 2.304076569494976319e-11
3.090896823425570223e-12 2.192604552531885844e-11 3.090896823425570223e-12 2.192604552531885844e-11
2.989139492158661854e-12 2.093285160439626192e-11 2.989139492158661854e-12 2.093285160439626192e-11
2.896595742593189290e-12 2.004153276472460058e-11 2.896595742593189290e-12 2.004153276472460058e-11
2.811959673232457485e-12 1.923653142455399116e-11 2.811959673232457485e-12 1.923653142455399116e-11
2.734170155504507654e-12 1.850536009046969298e-11 2.734170155504507654e-12 1.850536009046969298e-11
2.662354910871284876e-12 1.783787256813341589e-11 2.662354910871284876e-12 1.783787256813341589e-11
2.595789431752783705e-12 1.722573418459199157e-11 2.595789431752783705e-12 1.722573418459199157e-11
2.533866313432366117e-12 1.666203092019791844e-11 2.533866313432366117e-12 1.666203092019791844e-11
2.476072052728914827e-12 1.614097587813321536e-11 2.476072052728914827e-12 1.614097587813321536e-11
2.421969140006654863e-12 1.565768623864321848e-11 2.421969140006654863e-12 1.565768623864321848e-11
2.371182227778904859e-12 1.520801165319877133e-11 2.371182227778904859e-12 1.520801165319877133e-11
2.323387232024871613e-12 1.478840018958370106e-11 2.323387232024871613e-12 1.478840018958370106e-11
2.278302657386917155e-12 1.439579319338314784e-11 2.278302657386917155e-12 1.439579319338314784e-11
2.235682669779502758e-12 1.402754165111421225e-11 2.235682669779502758e-12 1.402754165111421225e-11
